60090,Gomphi,n,n-p---mn2-,Gomph,,,['gɔm.pʰɪ],,0
60232,60232,Hippius,n,n-s---mn2-,Hippi,,,['hɪp.pɪ̣.jʊs],,0
60233,60233,Hippo,n,n-s---mn3-,Hippo,,,['hɪp.pɔ],,0
60234,60234,Hippocrates,n,n-p---mn3-,Hippocrat,,,[hɪp.'pɔ.kra.t̪ɛs],,0
60235,60235,Hippocrene,n,n-s---fn1-,Hippocren,,,[hɪp.'pɔ.krɛ.n̪ɛ],,0
60237,60237,Hippodame,n,n-s---fn1-,Hippodam,,,[hɪp.'pɔ.d̪a.mɛ],,0
60238,60238,Hippodamus,n,n-s---mn2-,Hippodam,,,[hɪp.'pɔ.d̪a.mʊs],,0
60239,60239,Hippolyte,n,n-s---fn1-,Hippolyt,,,[hɪp.'pɔ.ly.t̪ɛ],,0
60240,60240,Hippolytus,n,n-s---mn2-,Hippolyt,,,[hɪp.'pɔ.ly.t̪ʊs],,0
60241,60241,Hippomeneis,n,n-s---fn3-,Hippomene,,,['hɪp.pɔ.mɛn̪ejs],,0
60242,60242,Hippomenes,n,n-p---mn3-,Hippomen,,,[hɪp.'pɔ.mɛ.n̪ɛs],,0
60243,60243,Hipponax,n,n-s---mn3-,Hipponax,,,['hɪp.pɔ.n̪aks],,0
60244,60244,Hippopodes,n,n-s---mn3-,Hippopod,,,[hɪp.'pɔ.pɔ.d̪ɛs],,0
60245,60245,Hippotades,n,n-s---mn3-,Hippotad,,,[hɪp.'pɔ.t̪a.d̪ɛs],,0
60179,60179,Hera,n,n-s---fn1-,Her,,,['hɛ.ra],,0
60180,60180,Heraclea,n,n-s---fn1-,Heracle,,,[hɛ.'ra.klɛ̣.ja],,0
60249,60249,Hispalis,n,n-s---fn3-,Hispal,,,['hɪs.pa.lɪs],,0
60250,60250,Hispani,n,n-p---mn2-,Hispan,,,['hɪs.pa.n̪ɪ],,0
60252,60252,Hispo,n,n-s---mn3-,Hispo,,,['hɪs.pɔ],,0
60253,60253,Hispulla,n,n-s---fn1-,Hispull,,,[hɪs.'pʊɫ.la],,0
60254,60254,Hister,n,n-s---mn3-,Hister,,,['hɪs.t̪ɛr],,0
60255,60255,Histri,n,n-p---mn2-,Histr,,,['hɪs.t̪rɪ],,0
60256,60256,Homeromastix,n,n-s---mn3-,Homeromastix,,,[hɔ.mɛ.rɔ.'mas.t̪ɪks],,0
60257,60257,Homerus,n,n-s---mn2-,Homer,,,['hɔ.mɛ.rʊs],,0
60258,60258,Homole,n,n-s---fn1-,Homol,,,['hɔ.mɔ.lɛ],,0
60259,60259,Honorinus,a,aps---mn1-,Honorin Honorin Honorin,,,[hɔ.'n̪ɔ.rɪ.n̪ʊs],,0
60260,60260,Honorius,n,n-s---mn2-,Honori,,,[hɔ.'n̪ɔ.rɪ̣.jʊs],,0
60262,60262,Horreum,n,n-s---nn2-,Horre,,,['hɔrrewm],,0
60263,60263,Hortalus,n,n-s---mn2-,Hortal,,,['hɔr.t̪a.lʊs],,0
60267,60267,Hunni,n,n-p---mn2-,Hunn,,,['hʊn̪.n̪ɪ],,0
60268,60268,Hyacinthus,n,n-s---mn2-,Hyacinth,,,[hy.ja.'kɪn̪.t̪ʰʊs],,0
60269,60269,Hyades,n,n-s---mn3-,Hyad,,,['hy.ja.d̪ɛs],,0
60270,60270,Hyale,n,n-s---fn1-,Hyal,,,['hy.ja.lɛ],,0
60271,60271,Hyampolis,n,n-s---fn3-,Hyampol,,,[hy.'jam.pɔ.lɪs],,0
60272,60272,Hyantes,n,n-p---mn3-,Hyant,,,[hy.'jan̪.t̪ɛs],,0
60273,60273,Hyas,n,n-s---mn3-,Hyas,,,['hy.jas],,0
60274,60274,Hybla,n,n-s---fn1-,Hybl,,,['hy.bla],,0
60275,60275,Hydaspes,n,n-p---mn3-,Hydasp,,,[hy.'d̪as.pɛs],,0
60276,60276,Hydra,n,n-s---fn1-,Hydr,,,['hy.d̪ra],,0
60277,60277,Hydrela,n,n-s---fn1-,Hydrel,,,['hy.d̪rɛ.la],,0
60278,60278,Hydrochous,n,n-s---mn2-,Hydrocho,,,[hy.'d̪rɔ.kʰɔ.jʊs],,0
60279,60279,Hydrus,n,n-s---mn2-,Hydr,,,['hy.d̪rʊs],,0
60280,60280,Hyes,n,n-p---mn3-,Hy,,,['hy.jɛs],,0
60281,60281,Hyettus,n,n-s---mn2-,Hyett,,,[hy.'jɛt̪.t̪ʊs],,0
60282,60282,Hygea,n,n-s---fn1-,Hyge,,,['hy.gɛ̣.ja],,0
60283,60283,Hyginus,n,n-s---mn2-,Hygin,,,['hy.gɪ.n̪ʊs],,0
60284,60284,Hylactor,n,n-s---mn3-,Hylactor,,,[hy.'lak.t̪ɔr],,0
60285,60285,Hylaeus,n,n-s---mn2-,Hylae,,,['hyɫews],,0
60286,60286,Hylas,n,n-s---mn3-,Hylas,,,['hy.laːs],,0
60287,60287,Hyles,n,n-p---mn3-,Hyl,,,['hy.lɛs],,0
60288,60288,Hyleus,a,aps---mn1-,Hyle Hyle Hyle,,,['hyɫews],,0
60289,60289,Hyllus,n,n-s---mn2-,Hyll,,,['hyɫ.lʊs],,0
60290,60290,Hylonome,n,n-s---fn1-,Hylonom,,,[hy.'lɔ.n̪ɔ.mɛ],,0
60291,60291,Hymettus,n,n-s---mn2-,Hymett,,,[hy.'mɛt̪.t̪ʊs],,0
60292,60292,Hymnis,n,n-s---fn3-,Hymn,,,['hym.n̪ɪs],,0
60293,60293,Hypaepa,n,n-s---fn1-,Hypaep,,,[hy.'paj.pa],,0
60294,60294,Hypasis,n,n-s---fn3-,Hypas,,,['hy.pa.sɪs],,0
60295,60295,Hypata,n,n-s---fn1-,Hypat,,,['hy.pa.t̪a],,0
60296,60296,Hyperbolus,n,n-s---mn2-,Hyperbol,,,[hy.'pɛr.bɔ.lʊs],,0
60297,60297,Hyperborei,n,n-p---mn2-,Hyperbore,,,[hy.'pɛr.bɔrej],,0
60298,60298,Hyperia,n,n-s---fn1-,Hyperi,,,[hy.'pɛ.rɪ̣.ja],,0
60299,60299,Hyperides,n,n-s---mn3-,Hyperid,,,[hy.'pɛ.rɪ.d̪ɛs],,0
60300,60300,Hyperion,n,n-s---mn3-,Hyperi,,,[hy.'pɛ.rɪ̣.jɔn̪],,0
60301,60301,Hypermnestra,n,n-s---fn1-,Hypermnestr,,,[hy.pɛrm.'n̪ɛs.t̪ra],,0
60302,60302,Hypobolimaeus,n,n-s---mn2-,Hypobolimae,,,[hy.'pɔ.bɔ.lɪmews],,0
60303,60303,Hypsa,n,n-s---fn1-,Hyps,,,['hyp.sa],,0
60304,60304,Hypsaeus,n,n-s---mn2-,Hypsae,,,['hypsews],,0
60305,60305,Hypseus,n,n-s---mn2-,Hypse,,,['hypsews],,0
