2,cibicida,n,n-s---mn1-,cibicid,,,[kɪ.bɪˈkiː.da],cibicida,0
98900,i1064,incontinens,a,aps---an3i,incontinent incontinent incontinent,,,[ɪŋ.'kɔn̪.t̪ɪ.n̪eːn̪s],incontinens,0
41137,m0528,medianum,n,n-s---nn2-,median,,,[mɛ.'d̪ɪ̣.ja.n̪ũː],medianum,0
41112,m0552,medietas,n,n-s---fn3-,medietat,,,[mɛˈdi.ɛ.taːs],medietas,0
41104,m1086,mirificentia,n,n-s---fn1-,mirificenti,,,[mɪ.rɪ.fɪ.'kɛn̪.t̪ɪ̣.ja],mirificentia,0
41160,o0607,obuius,a,aps---mn1-,I I I,,,[ˈɔb.wi.ʊs],obuius,0
41149,o9986,organarius,n,n-s---mn2-,organari,,,[ɔr.ga.'n̪a.rɪ̣.jʊs],organarius,0
41116,p1303,perlego,v,v1spia--3-,perleg perleg perlect,,,[ˈpɛr.ɫɛ.ɡoː],perlego,0
41146,s2163,sphaerula,n,n-s---fn1-,sphaerul,,,['spʰaj.rʊ.la],sphaerula,0
41153,s2834,subdomo,v,v1spia--1-,subd subdid subdit,,,['sʊb.d̪ɔ.mɔ],subdomo,0
41105,s6236,subuersor,n,n-s---mn3-,su,,,[sʊ.bʊ.'jɛr.sɔr],subuersor,0
41129,u1332,utique,r,rp--------,,,,['ʊ.t̪ɪ.kʷɛ],utique,0
41164,a0509,adaucto,v,v1spia--1-,adauct adauctau adauctat,,,/aˈdau̯k.toː/,adaucto,0
41197,r0325,reiectio,n,n-s---fn3-,re,,,[rɛjˈjɛk.ti.oː],reiectio,0
39759,h0412,hippocampus,n,n-s---mn2-,hippocamp,,27867,[hɪp.pɔˈkam.pʊs],hippocampus,0
41180,41180,amministra,n,n-s---fn1-,amministr,,,[a.'mmɪ.n̪ɪ.st̪ra],amministra,0
39544,d1241,diadochus,n,n-s---mn2-,diadoch,,27866,[d̪ɪ̣.'ja.d̪ɔ.kʰʊs],diadochus,0
41210,41210,biblicus,a,aps---mn1-,biblic biblic biblic,,,[ˈbɪ.blɪ.kʊs],biblicus,0
41234,41234,buturum,n,n-s---nn2-,butur,,,['bʊ.t̪ʊ.rũː],buturum,0
41204,41204,camelopardus,n,n-s---mn2-,camelopard,,,[ka.meː.ɫɔˈpar.dʊs],camelopardus,0
41166,41166,clupeatus,a,aps---mn1-,clupeat clupeat clupeat,,,[klʊ.'pɛ̣.ja.t̪ʊs],clupeatus,0
41182,41182,commistim,r,rp--------,,,,['kɔ.mmɪst̪ĩː],commistim,0
41192,41192,confessus,n,n-s---mn2-,confess,,,[koːn̪.'fɛs.sʊs],confessus,0
41229,41229,coniectatorius,a,aps---mn1-,coniectatori coniectatori coniectatori,,,[kɔ.n̪ɪ̣.jɛk.t̪a.'t̪ɔ.rɪ̣.jʊs],coniectatorius,0
41200,41200,conpago,n,n-s---fn3-,conpagin,,,['kɔn̪.pa.gɔ],conpago,0
41190,41190,conparaticius,a,aps---mn1-,conparatici conparatici conparatici,,,[kɔn̪.pa.ra.'t̪ɪ.kɪ̣.jʊs],conparaticius,0
41215,41215,despiciendus,a,aps---mn1-,despic despic despic,,,[d̪ɛs.pɪ.kɪ̣.'jɛn̪.d̪ʊs],despiciendus,0
41198,41198,desuetus,n,n-s---mn4-,desuet desuet desuet,,,[d̪ɛ.'sʊ.jɛ.t̪ʊs],desuetus,0
41202,41202,equuleus,n,n-s---mn2-,equule,,,[ɛˈkʷʊ.ɫe.ʊs],equuleus,0
41188,41188,exculpo,v,v1spia--3-,exculp exculps exculpt,,,[ɛkˈskʊɫ.poː],exculpo,0
