id,uri,lemma,pos,morpho,principal_parts,prosody,validated
23470,f0927,fragmen,n,n-s---nn3-,fragmin,fragmen,1
23471,f0928,fragmentum,n,n-s---nn2-,fragment,fragmentum,1
23472,f0929,fragor,n,n-s---mn3-,fragor,fragor,1
23476,f0934,frater,n,n-s---mn3-,fratr,frater,1
102717,102717,antispodos,n,n-s---fn2g,antispod,antispodos,0
23477,f0936,fraternitas,n,n-s---fn3-,fraternitat,fraternitas,1
23478,f0937,fraternus,a,aps---mn1-,fratern fratern fratern,fraternus,1
23479,f0952,fraudo,v,v1spia--1-,fraud fraudau fraudat,fraudo,1
23480,f0953,fraudulentia,n,n-s---fn1-,fraudulenti,fraudulentia,1
23482,f0956,fraus,n,n-s---fn3-,fraud,fraus,1
23485,f0963,fremor,n,n-s---mn3-,fremor,fremor,1
102718,102718,antispodus,n,n-s---mn2-,antispod,antispodus,0
23489,23489,frequenter,r,rp--------,frequent,frequenter,1
23486,f0967,freno,v,v1spia--1-,fren frenau frenat,freno,1
23490,f0975,frequentia,n,n-s---fn1-,frequenti,frequentia,1
23491,f0976,frequento,v,v1spia--1-,frequent frequentau frequentat,frequento,1
23493,f0985,fricatio,n,n-s---fn3-,frication,fricatio,1
23494,f0988,frico,v,v1spia--1-,fric fricau fricat,frico,1
23496,23496,frigdor,n,n-s---mn3-,frigdor,frigdor,1
23495,f9988,frictio,n,n-s---fn3-,friction,frictio,1
23497,f0994,frigesco,v,v1spia--3-,frigesc frix -,frigesco,1
23499,f1302,frigo,v,v1spia--3-,frig - -,frigo,1
23500,f1003,frigor,n,n-s---mn3-,frigor,frigor,1
23501,f1008,frigus,n,n-s---nn3-,frigor,frigus,1
23512,23512,frugaliter,r,rp--------,frugal,frugaliter,1
23502,f1010,friguttio,v,v1spia--4-,frigutt friguttiu friguttit,friguttio,1
23503,f1012,frio,v,v1spia--1-,fri friau friat,frio,1
23504,f0434,frixorium,n,n-s---nn2-,frixori,frixorium,1
23505,f1019,frixura,n,n-s---fn1-,frixur,frixura,1
23506,f1031,frons,n,n-s---fn3i,frond,frons,1
23508,f1036,fructuosus,a,aps---mn1-,fructuos fructuos fructuos,fructuosus,1
23509,f1058,fructus,n,n-s---mn4-,fruct,fructus,1
23510,f1037,frugalis,a,aps---cn3i,frugal frugal frugal,frugalis,1
23511,f1038,frugalitas,n,n-s---fn3-,frugalitat,frugalitas,1
23515,f1049,fruitio,n,n-s---fn3-,fruition,fruitio,1
23518,f1064,frustra,r,rp--------,,frustra,1
23519,f1068,frustratio,n,n-s---fn3-,frustration,frustratio,1
23521,f1074,frustum,n,n-s---nn2-,frust,frustum,1
23513,23513,frugi,a,aps---an--,-,frugi,1
23522,f1077,frutex,n,n-s---mn3-,frutic,frutex,1
23523,f1086,fuco,v,v1spia--1-,fuc fucau fucat,fuco,1
23524,f1088,fucus,n,n-s---mn2-,fuc,fucus,1
23526,f1103,fugo,v,v1spia--1-,fug fugau fugat,fugo,1
23527,f1104,fulcimen,n,n-s---nn3-,fulcimin,fulcimen,1
23528,f1106,fulcio,v,v1spia--4-,fulc fuls fult,fulcio,1
