,184167,,,
361114,45957,119554,,,
361121,45935,132728,,,
361126,45935,145127,,,
361130,45935,116967,,,
361137,45935,142287,,,
361144,45935,165445,,,
361151,45935,163382,,,
361158,45935,134958,,,
361165,45935,116641,,,
361172,45935,167320,,,
361179,45935,161803,,,
361186,45949,106999,,,
361193,45949,116384,,,
361200,45944,186536,,,
361207,45981,141563,,,
361214,45981,135923,,,
361221,45981,135905,,,
361228,45981,136654,,,
361233,45981,127681,,,
361237,45981,161212,,,
361244,45981,106926,,,
361251,45981,106266,,,
361258,45981,130186,,,
361265,45918,107476,,,
361272,45918,136300,,,
361279,45909,161020,,,
361286,45919,146151,,,
361293,45919,144458,,,
361300,45919,165817,,,
361307,45941,122426,,,
361314,45941,163397,,,
361321,45958,127336,,,
361328,45958,139970,,,
361335,45958,156316,,,
361340,45958,142607,,,
361344,45958,120835,,,
361351,45951,192623,,,
361358,45951,191813,,,
361365,45951,190245,,,
361372,45951,189321,,,
361379,45972,170120,,,
361386,45911,180581,,,
361393,45911,181208,,,
361400,45911,174420,,,
361407,45911,169922,,,
361414,45911,169385,,,
361421,45911,179608,,,
361428,45911,178054,,,
361435,45954,105593,,,
361442,45954,133488,,,
361447,45954,142180,,,
361451,45954,132309,,,
361458,45954,162889,,,
361465,45954,137531,,,
361472,45954,123060,,,
361479,45954,103332,,,
361486,45954,105634,,,
361493,45954,136348,,,
361500,45954,131468,,,
361507,45954,132618,,,
361514,45947,152206,,,
361521,45939,108152,,,
361528,45939,148934,,,
361535,45939,150438,,,
361542,45939,126727,,,
361549,45907,127861,,,
361554,45907,126430,,,
361558,45907,130761,,,
361565,45907,130229,,,
361572,45907,134406,,,
361579,45927,190918,,,
361586,45980,174602,,,
361593,45960,193209,,,
361600,45931,104694,,,
361607,45931,161499,,,
361614,45931,137424,,,
361621,45931,169155,,,
361628,45931,165426,,,
361635,45931,105633,,,
361642,45931,104600,,,
361649,45931,108682,,,
361656,45942,199675,,,
361661,45942,200432,,,
361665,45942,201637,,,
361672,45975,107497,,,
361679,45937,165161,,,
361686,45970,174070,,,
361693,45970,180709,,,
361700,45970,180686,,,
361707,45970,181178,,,
361714,45970,169915,,,
361721,45970,174515,,,
361728,45970,169383,,,
361735,45970,171931,,,
361742,45970,173969,,,
361749,45970,177541,,,
361756,45970,173942,,,
361763,45970,174433,,,
361768,45970,179034,,,
361772,45970,171861,,,
361779,45970,175946,,,
361786,45970,179008,,,
361793,45970,177463,,,
361800,45970,180519,,,
361807,45970,174360,,,
361814,45970,178449,,,
361821,45970,177418,,,
361828,45970,171765,,,
361835,45970,177375,,,
361842,45970,175823,,,
361849,45970,178361,,,
361856,45970,174251,,,
361863,45970,172698,,,
361870,45970,179853,,,
361875,45970,178306,,,
361879,45970,174202,,,
361886,45970,179821,,,
361893,45970,174174,,,
361900,45970,178254,,,
361907,45970,181319,,,
361914,45970,180785,,,
361921,45970,180266,,,
361928,45970,180258,,,
361935,45970,174098,,,
361942,45936,200955,,,
361949,45910,169208,,,
361956,45910,123089,,,
361963,45910,107700,,,
361970,45910,128028,,,
361977,45910,162962,,,
361982,46023,121420,,,
361986,46023,104163,,,
361993,46036,146105,,,
362000,46019,131705,,,
362007,46019,126061,,,
362014,46019,127170,,,
362021,46019,165943,,,
362028,46019,159652,,,
362035,46019,119694,,,
362042,46019,105986,,,
362049,45994,193965,,,
362056,45994,186829,,,
362063,46025,137209,,,
362070,46025,116806,,,
