id,offset,pos,language,gloss,semfield
133660,04954197,n,10,an ambiguity (especially one in the text of a law or contract) that makes it possible to evade a difficulty or obligation,1969
133662,04954494,n,10,the use of ambiguous words,1969
104557,00206217,n,10,"carrying something in a pack on the back: ""the backpacking of oxygen is essential for astronauts""",
104586,00210000,n,10,"an awkward climb: ""reaching the crest was a real clamber""",
104596,00211148,n,10,"the act of dropping something: ""they expected the drop would be successful""",
104600,00211639,n,10,"the act of returning to a prior location: ""they set out on their return to the base camp""",
104535,00203372,n,10,passage through a lock,
104537,00203574,n,10,travel by water,"1946,2772"
104538,00203714,n,10,riding in a sailboat,"1946,2772"
104539,00203842,n,10,sailing close to the wind,"1946,2772"
104541,00204077,n,10,sailing a zigzag course,1946
104542,00204151,n,10,the work of a sailor,
104543,00204287,n,10,navigation in costal waters,
104544,00204369,n,10,water travel for pleasure,"1946,2772"
104545,00204459,n,10,the travel of a commuter,
104546,00204553,n,10,the act of transporting something from one location to another,
104547,00204841,n,10,transfer from one conveyance to another for shipment,
104550,00205359,n,10,the act of driving a herd of animals overland,
104552,00205632,n,10,the delivery of goods for sale or disposal,2872
104553,00205732,n,10,the act of passing something to another person,
104554,00205865,n,10,the act of relaying something,
104555,00205946,n,10,the act of carrying something,
104556,00206099,n,10,the act of taking aboard passengers or freight,
104558,00206382,n,10,the act of carrying a person over your shoulder,
104559,00206491,n,10,carrying boats and supplies overland,
104560,00206581,n,10,the transportation of burdens by porters,
104561,00206677,n,10,the act of pursuing,
104562,00206842,n,10,the pursuit (of a person or animal) by following tracks or marks they left behind,
104563,00206989,n,10,the act of following someone secretly,
104564,00207092,n,10,the act of following prey stealthily,
104565,00207191,n,10,the fruitless pursuit of something unattainable,
104566,00207301,n,10,the act of putting one thing into another,
104567,00207536,n,10,the insertion of a cannula into a body cavity,
104568,00207683,n,10,the introduction of a liquid (by pouring or injection) drop by drop,
104569,00207854,n,10,the act of enclosing something inside something else,
104570,00208049,n,10,the enclosure of something in a box,
104571,00208165,n,10,the act of binding something into a bundle,
104572,00208262,n,10,the act of enclosing something in a case,
104573,00208372,n,10,the forceful insertion of a substance under pressure,
104574,00208480,n,10,an injection into the skin,2232
104575,00208574,n,10,an injection into a muscle,2232
104576,00208670,n,10,an injection into a vein,2232
104577,00208780,n,10,(informal) an intravenous injection of a narcotic drug,2232
104578,00208884,n,10,an injection under the skin,2232
104580,00209166,n,10,the introduction of blood or blood plasma into a vein or artery,2232
104581,00209307,n,10,pumping a liquid into an organ or tissue (especially by way of blood vessels),
104582,00209440,n,10,the act of changing location in an upward direction,
104583,00209629,n,10,the act of lifting something with great effort,
104584,00209737,n,10,the act of climbing something,
104585,00209898,n,10,ascent by or as if by a ladder,
104587,00210111,n,10,an act of scaling the walls of a fortification,
104588,00210212,n,10,the activity of climbing a mountain,"2638,2772"
104589,00210328,n,10,an act of scaling rock masses on mountain sides,
104590,00210435,n,10,the act of rising upward into the air,
104591,00210530,n,10,the act of changing your location in a downward direction,
104592,00210749,n,10,a steep nose-down descent by an aircraft,
104593,00210870,n,10,a swift descent through the air,
104594,00210953,n,10,a dive accelerated by both gravity and engine power,
104595,00211061,n,10,a rapid descent by a submarine,
104598,00211411,n,10,the act of causing something to move to a lower level,
104599,00211534,n,10,changing location by moving back and forth,
104551,00205456,n,10,"the act of delivering a writ or summons upon someone: ""he accepted service of the subpoena""",1802
133663,04954577,n,10,an inoffensive expression that is substituted for one that is considered offensive,1969
104617,00214309,n,10,the act of agitating something; causing it to move around (usually vigorously),
104620,00214772,n,10,the act of disturbing something or someone; setting something in motion,
104635,00217163,n,10,"the act of opening something: ""the ray of light revealed his cautious opening of the door""",
104629,00216316,n,10,"a short abrupt inclination (as of the head); ""he gave me a short bob of acknowledgement""",
104601,00211817,n,10,the act of entering again,
104634,00216960,n,10,"abrupt up-and-down motion (as caused by a ship or other conveyance); ""the pitching and tossing was quite exciting""",
104651,00219234,n,10,"the act of rotating as if on an axis: ""the rotation of the top kept time with the music""",
104643,00218335,n,10,"shuffling (cards) again; ""the gambler demanded a reshuffle""",2637
104653,00219627,n,10,"the act of rotating rapidly: ""he gave the crank a spin""; ""it broke off after much twisting""",
104657,00220196,n,10,"the act of assuming or maintaining a seated position: ""he read the mystery at one sitting""",
104660,00220668,n,10,"a movement in an arc: ""a sweep of his arm""",
104662,00220931,n,10,"the act of winding or twisting: ""he put the key in the old clock and gave it a good wind""",
104661,00220762,n,10,"turning or twisting around (in place); ""with a quick twist of his head he surveyed the room""",
104625,00215794,n,10,"the act of inclining; bending forward: ""an inclination of his head indicated his agreement""",
104602,00211896,n,10,the act of sending an accused person back into custody to await trial (or the continuation of the trial),1802
104603,00212053,n,10,the act of sliding or gliding,
104604,00212160,n,10,an unexpected slide,
104606,00212399,n,10,the act of allowing a fluid to escape,
104607,00212509,n,10,a large flow,
104608,00212615,n,10,flow under pressure,
104610,00212796,n,10,changing location rapidly,
104612,00213070,n,10,the act of moving along swiftly (as before a gale),
104613,00213182,n,10,the act of uniform movement,
104614,00213282,n,10,the act of uprooting and moving a plant to a new location,
104615,00213412,n,10,the act of moving from one place to another,
104618,00214515,n,10,a motion of the body by a player as if to make an object already propelled go in the desired direction,
104619,00214676,n,10,a circular movement of a limb or eye,
104621,00215081,n,10,motion of hands or body to emphasize or help to express a thought or feeling,
104624,00215695,n,10,ritual hand movement in Hindu religious dancing,
104626,00216009,n,10,the act of turning inside out,
104627,00216116,n,10,turning upside down,
104628,00216220,n,10,an abrupt spasmodic movement,
104630,00216454,n,10,the act of nodding the head,
104631,00216542,n,10,an inclination of the top half of the body forward and downward,
104633,00216864,n,10,supporting yourself on your knees,
104636,00217325,n,10,changing an arrangement,
104637,00217444,n,10,the act of rearranging things to give a misleading impression,
104638,00217569,n,10,a rearrangement in a different order,
104639,00217734,n,10,act of changing the lineal order of objects in a group,
104640,00217846,n,10,act of reversing the order or place of,
104642,00218172,n,10,the act of mixing cards haphazardly,2637
104644,00218464,n,10,shuffling by splitting the pack and interweaving the two halves at their corners,2637
104645,00218597,n,10,a series of small (usually idle) twists or turns,
104646,00218699,n,10,the act of prostrating yourself,
104647,00218788,n,10,the act of physically reaching or thrusting out,
104648,00218926,n,10,alternating back-and-forth movement,
104649,00219021,n,10,the act of assuming or maintaining a reclining position,
104650,00219132,n,10,the act of bending backward,
104652,00219521,n,10,flying downward in a helical path with a large radius,
104654,00219840,n,10,a rapid spin of the body (especially on the toes as in ballet),
104655,00219958,n,10,rotating a log rapidly in the water (as a competitive sport),
104656,00220085,n,10,the act of closing something,
104659,00220549,n,10,the act of assuming or maintaining a squatting position,
104663,00221089,n,10,the act of turning or winding or folding around a central axis,
104664,00221212,n,10,turning an oar parallel to the water between pulls,2648
113081,01660412,n,10,a wing of an insect,"2202,2233"
104611,00212943,n,10,the act of accelerating; increasing the speed,
133667,04955045,n,10,an expression of disappointment or irritation,1969
133668,04955143,n,10,an ambiguity with one interpretation that is indelicate,1969
104691,00224643,n,10,"the act of changing or reversing the direction of the course: ""he took a turn to the right""",1946
104694,00225312,n,10,"a turn to the right: ""take a right at the corner""",
104695,00225413,n,10,"a turn to the left: ""take a left at the corner""",1946
104699,00226363,n,10,"the act of reducing the amount or number: ""the mayor proposed extensive cuts in the city budget""",1753
104714,00228188,n,10,"the act of reducing something unpleasant as pain: ""he asked the nurse for relief from the constant pain""",
104705,00227088,n,10,"the action of lessening in severity or intensity: ""the object being control or moderation of economic depressions""",
104725,00229705,n,10,"the act of squeezing: ""he gave her cheek a playful squeeze""",
104665,00221348,n,10,the act of rotating in a circle or spiral,
104666,00221455,n,10,rotation of the hands and forearms so that the palms face downward,
104667,00221595,n,10,rotation of the hands and forearms so that the palms face upward,
104668,00221734,n,10,the act of vibrating,
104670,00221988,n,10,the act of changing the direction in which something is oriented,
104672,00222304,n,10,turning in the opposite direction,1946
104673,00222475,n,10,"act of pivoting 180 degrees, especially in a military formation",1946
104674,00222608,n,10,complete reversal of direction of travel,1946
104675,00222701,n,10,the act of causing something to move up and down (or back and forth) with quick movements,
104676,00222862,n,10,a slight irregular shaking motion,
104677,00222957,n,10,agitating a liquid with a stirring implement,
104678,00223056,n,10,causing to move repeatedly from side to side,
104680,00223322,n,10,pitching dangerously to one side,
104681,00223428,n,10,walking with a rolling gait,
104683,00223675,n,10,the act of moving back and forth,
104684,00223779,n,10,an involuntary vibration (as if from illness or fear),
104686,00224022,n,10,the act of assuming or maintaining an erect upright position,
104687,00224137,n,10,the act of sitting or standing astride,
104688,00224275,n,10,a single complete movement,
