083,transportatio,n,n-s---fn3-,transportation,,,[t̪raːn̪s.pɔr.'t̪a.t̪ɪ̣.jɔ],transportatio,0
50279,q0120,quandiucumque,r,rp--------,,,,[kʷan̪.d̪ɪ̣.jʊ.'kʊm.kʷɛ],quandiucumque,0
124312,q0125,quandolibet,r,rp--------,,,,[kʷan̪.'d̪ɔ.lɪ.bɛt̪],quandolibet,0
28171,u0838,uitalis,a,aps---cn3i,uital uital uital,,,[wiːˈtaː.lɪs],uitalis,1
131632,u0892,uituperatiuus,a,aps---mn1-,uituperatiu uituperatiu uituperatiu,,,[wɪ.t̪ʊ.pɛ.'ra.t̪ɪ.wʊs],uituperatiuus,0
131633,u0895,uitupero,n,n-s---mn3-,uituperon,,,[wɪ.'t̪ʊ.pɛ.rɔ],uitupero,0
33297,u0925,uliginosus,a,aps---mn1-,uliginos uliginos uliginos,,,[uː.liː.ɡɪˈnoː.sʊs],uliginosus,0
131667,u0948,ultramundanus,a,aps---mn1-,ultramundan ultramundan ultramundan,,,[ʊɫ.t̪ra.'mʊ.n̪d̪a.n̪ʊs],ultramundanus,0
56127,u0953,ultroneus,a,aps---mn1-,ultrone ultrone ultrone,,,[ʊɫˈtroː.ne.ʊs],ultroneus,0
27906,u0982,umecto,v,v1spia--1-,umect umectau umectat,,,[uːˈmɛk.toː],umecto,1
56288,u1047,undeoctoginta,a,aps---an--,un un un,,,[uːn.deː.ɔk.toːˈɡɪn.taː],undeoctoginta,0
131736,u1048,undequadragesimus,a,aps---mn1-,undequadragesim undequadragesim undequadragesim,,,[ʊn̪.d̪ɛ.kʷa.d̪ra.'gɛ.sɪ.mʊs],undequadragesimus,0
48741,u1050,undequadraginta,a,aps---an--,un un un,,,[uːn.deː.kʷa.draːˈɡɪn.taː],undequadraginta,0
40084,u1052,undequinquaginta,a,aps---an--,un un un,,,[uːn.deː.kᶣiːŋ.kʷaːˈɡɪn.taː],undequinquaginta,0
27919,u1068,undo,v,v1spia--1-,und undau undat,,,[ˈʊn.doː],undo,1
131759,u1406,unguentarium,n,n-s---nn2-,unguentari,,,[ʊŋ.gʷɛn̪.'t̪a.rɪ̣.jũː],unguentarium,0
28190,u1146,uociferatio,n,n-s---fn3-,uociferation,,,[woː.kɪ.fɛˈraː.ti.oː],uociferatio,1
