id,type,source,target
287380,/,19742,39417
287381,/,19742,19744
287382,/,19742,102247
287383,\,102240,19744
287384,\,102248,132234
287385,\,41452,132234
287386,/,19748,19750
287387,/,19748,32846
287388,/,19748,44290
287389,/,19748,19751
287390,/,19748,57500
287391,/,19748,19752
287393,\,57500,19752
287394,/,19752,19750
287395,/,19752,32846
287396,/,19752,44290
287397,/,19752,19751
287398,\,41063,97588
287399,\,46935,57664
287400,/,19758,31092
287401,/,19758,52637
287402,/,19758,38386
287403,/,19758,30877
287404,/,19758,35487
287405,/,19758,55599
287406,/,19758,19759
287407,\,45643,19760
287408,\,97591,19760
287409,\,19769,19770
287410,\,53793,19770
287411,\,36048,19771
287412,\,19774,19771
287413,/,19772,19771
287414,/,19772,56671
287415,/,19772,36048
287416,/,19772,34313
287417,/,19772,102304
287418,/,19772,19774
287419,/,19775,31127
287420,/,19776,36245
287421,/,19776,102313
287422,/,19776,19777
287423,/,19776,19778
287424,/,19776,56256
287425,/,19776,19779
287426,/,19776,102314
287427,/,19776,19780
287428,\,56256,19777
287429,/,19777,36245
287430,/,19777,102313
287431,/,19777,19776
287432,/,19777,57631
287433,/,19777,19779
287434,/,19777,102314
287435,/,19777,19780
287436,/,19779,36245
287437,/,19779,102313
287438,/,19779,57631
287439,/,19779,19777
287440,/,19779,19778
287441,/,19779,56256
287442,/,19779,102314
287443,/,19779,19780
287444,\,36245,19780
287445,\,102314,19780
287446,/,19785,46082
287447,/,19785,102322
287448,\,19792,19787
287449,/,19788,37299
287450,\,33789,19793
287451,\,19788,19793
287452,\,97599,19793
287453,\,98997,19793
287454,\,102355,19798
287455,\,51491,19798
287456,/,19800,48543
287457,/,19800,37245
287458,/,19800,43531
287459,/,19800,19801
287460,\,97602,19801
287461,\,19805,19806
287462,\,34923,19812
287463,/,19817,19821
287464,/,19823,36310
287465,/,19823,19817
287466,/,19823,19818
287467,/,19823,102398
287468,/,19823,102399
287469,/,19823,19819
287470,/,19823,19820
287471,/,19823,34505
287472,/,19823,19821
287473,/,19823,19822
287474,/,19823,19825
287475,\,19827,19828
287476,/,19832,19831
287477,/,19832,32601
287478,/,19832,46056
287479,/,19832,38269
287480,/,19832,102417
287481,/,19832,19833
287482,/,132170,102471
287483,/,132170,29619
287484,/,132170,35366
287485,/,19844,19845
287486,\,51837,19846
287487,\,51985,19846
287488,\,48671,19846
287489,/,19846,102487
287490,/,19846,33399
287491,\,33399,132241
287492,\,34583,19857
287493,\,19864,19863
287494,\,19860,19863
287495,/,19866,19865
287496,\,37038,19867
287497,\,102551,19871
287498,\,102552,19871
287499,\,19870,19871
287500,/,19872,97617
287501,/,19872,46414
287502,\,56542,19873
287503,/,19873,19878
287504,/,19873,19880
287505,/,19873,28881
287506,/,19874,19875
287507,/,19874,19876
287508,/,19878,19873
287509,/,19878,19884
287510,/,19878,19888
287511,\,19878,19878
287512,\,19878,19880
287513,\,28881,19884
287514,\,52791,19884
287515,\,19881,19884
287516,/,19888,19873
287517,/,19888,19884
300660,/,55282,57539
287519,\,102569,19892
287520,\,28878,19893
287521,/,19913,24755
287522,/,19913,116443
287523,/,19913,116446
287524,/,19913,116448
287525,/,19913,116449
287526,/,19913,116450
287527,/,19913,24766
287528,/,19913,33352
287529,/,19913,55502
287530,/,19913,99281
287531,/,19913,35299
287532,/,19913,116503
287533,/,19913,99282
287534,\,19923,19924
287535,\,19932,19931
287536,\,40915,19931
287537,/,19938,58246
287538,/,19938,47808
287539,/,19938,45740
287540,/,19938,19939
287541,\,45740,19939
287542,\,19941,19944
287543,/,19945,42628
287544,\,19948,19946
287545,\,38190,19946
287546,\,19950,19946
287547,\,19955,97638
287548,\,19956,97638
287549,\,102786,97638
287550,\,97637,97638
287551,\,32874,97638
287552,\,33857,97638
287553,\,19986,19987
287554,\,19988,19987
287555,\,41924,19987
287556,/,19988,41924
287557,\,102862,19989
287558,\,52512,19989
287559,\,53213,19989
287560,\,19984,19989
287561,\,57438,97647
287562,/,19992,102871
287563,/,19992,19993
287564,/,19992,31159
287565,/,19998,97648
287566,/,19998,19995
287567,/,19998,19996
287568,/,19998,19997
287569,/,19998,97649
287570,/,19998,32071
287571,/,19998,19999
287572,/,19998,20000
287573,/,19999,19996
287574,/,19999,32071
287575,\,58084,20003
287576,\,20006,20003
287577,\,49975,20004
287578,\,36174,20010
287579,\,20011,20012
287580,\,53561,20012
287581,\,46397,20015
287582,\,102897,20017
287583,\,44868,20022
287584,\,57871,20022
287585,\,43253,20022
287586,\,31958,20025
287587,/,20030,39152
287588,/,20030,20029
287589,/,20030,42372
287590,/,20030,53567
287591,/,20030,20031
287592,/,20030,102950
287593,/,20030,102951
287594,/,20030,97658
287595,/,20030,20112
287596,/,20031,20029
287597,/,20031,42372
287598,/,20031,20030
287599,/,20031,102947
287600,/,20031,102950
287601,/,20031,102951
287602,/,20031,20112
287603,\,20037,20033
287604,\,41381,20040
287605,\,39419,20040
287606,\,20041,20040
287607,\,97660,20040
287608,/,20040,20041
287609,/,20040,32687
287610,/,20040,20042
287611,/,20040,43546
287612,/,20040,43772
287613,/,20040,97660
287614,\,40778,20043
287615,\,51038,20043
287616,\,38692,20043
287617,/,20043,41000
287618,/,20043,28853
287619,/,20043,33197
287620,/,20050,19859
287621,/,20050,102969
287622,/,20053,22905
287623,/,20066,20065
287624,\,37253,20067
287625,\,20073,20070
287626,\,103101,20070
287627,\,20074,20075
287628,\,55640,20076
287629,\,20078,20079
287630,\,30814,20079
287631,/,20079,20082
287632,/,20079,39503
287633,/,20079,36642
287634,/,20079,42346
287635,/,20079,41405
287636,\,20078,20080
287637,\,30814,20080
287638,\,30814,20082
287639,\,42346,20082
287640,\,30364,132256
287641,\,32820,132256
287642,\,30364,20086
287643,\,32820,20086
287645,\,30364,20087
287646,\,32820,20087
287647,\,20086,20087
287648,\,51545,132257
287649,\,20088,132257
287650,\,47438,20092
287651,/,20093,20094
287652,/,20096,31908
287653,/,20096,20098
287654,\,20097,20098
287655,/,20100,20101
287656,/,20104,97675
287657,/,20104,20103
287658,/,20104,51596
287659,\,48073,20110
287660,\,55225,20110
287661,\,20108,20111
287662,\,39519,20111
287663,\,20029,20112
287664,\,102951,20112
287665,\,97658,20112
287666,\,51881,20117
287667,/,20117,39583
287668,/,20117,20123
287669,\,103108,20118
287670,\,30432,20118
287671,\,34984,20120
287672,/,20121,31105
287673,/,20121,37117
287674,/,20121,45062
287675,/,20121,31787
287676,/,20121,20125
287677,/,20121,20124
287678,\,97688,20124
287679,\,97688,20125
287680,/,20127,40298
287681,\,106952,20129
287682,\,45284,20129
287683,/,20138,20144
287684,\,56856,20144
287685,/,20149,103185
287686,/,20149,30688
287687,/,20149,49733
287688,/,20149,20148
287689,\,36319,20153
287690,\,36319,20154
287691,\,47055,132258
287692,\,20158,132258
287693,\,30392,132258
287694,\,49733,20162
287695,\,52147,20164
287696,\,20163,20164
287697,/,20166,20167
287698,\,47409,20169
287699,\,45645,20169
287700,\,103239,20170
287701,/,20180,103262
287702,/,20181,20180
287703,/,20182,55282
287704,/,20182,20183
287705,/,20183,20182
287706,\,44123,20184
287707,/,20184,103250
287708,/,20190,19114
287709,/,20190,20338
287710,\,58229,20191
287711,\,20203,20191
287712,\,48730,20204
287713,\,97710,20204
287714,\,40223,20204
287715,/,20205,20191
287716,/,20205,20206
287717,/,20205,20209
287718,/,20207,55783
287719,\,20215,20218
287720,\,20220,20222
287721,\,20241,20223
287722,\,20224,132266
287723,\,103302,20228
287724,\,97711,20228
287725,\,20210,20229
287726,\,57379,20237
287727,\,37765,20237
287728,\,34144,57467
287729,\,53404,57467
287730,\,20240,20239
287731,\,103312,20239
287732,\,57604,20239
287733,\,20252,20250
287734,\,36222,20250
287735,/,20256,20257
287736,/,20256,35702
287737,/,20256,20258
