,praesignis,a,aps---cn3i,praesign praesign praesign,praesignis,0
100368,r0367,remeligo,n,n-s---fn3-,remeligin,remeligo,0
100371,r1233,remurmuro,v,v1spia--1-,remurmur remurmurau remurmurat,remurmuro,0
100372,r1238,renauigo,v,v1spia--1-,renauig renauigau renauigat,renauigo,0
100375,r0399,reno,n,n-s---mn3-,renon,reno,0
100374,r1244,reno,v,v1spia--1-,ren renau renat,reno,0
100376,r1252,renumero,v,v1spia--1-,renumer renumerau renumerat,renumero,0
100379,100379,repagula,n,n-p---nn2-,repagul,repagula,0
100377,r1255,renuto,v,v1spia--1-,renut renutau renutat,renuto,0
100378,r7035,renutus,n,n-s---mn4-,renut,renutus,0
100380,r0417,reparabilis,a,aps---cn3i,reparabil reparabil reparabil,reparabilis,0
100381,r0421,repastinatio,n,n-s---fn3-,repastination,repastinatio,0
100385,100385,reperta,n,n-p---nn2-,repert,reperta,0
100384,r7054,repens,a,aps---an3i,repent repent repent,repens,0
100383,r1272,repenso,v,v1spia--1-,repens repensau repensat,repenso,0
100386,r9993,repetentia,n,n-s---fn1-,repetenti,repetentia,0
100387,100387,repetundae,n,n-p---fn1-,repetund,repetundae,0
100389,100389,reprendo,v,v1spia--3-,reprend reprend reprens,reprendo,0
100392,100392,repugnans,a,aps---an3i,repugnant repugnant repugnant,repugnans,0
100388,r1292,reposco,v,v1spia--3-,reposc - -,reposco,0
100395,100395,repulsus,a,aps---mn1-,repuls repuls repuls,repulsus,0
100390,r0473,reptabundus,a,aps---mn1-,reptabund reptabund reptabund,reptabundus,0
100391,r1304,repuerasco,v,v1spia--3-,repuerasc - -,repuerasco,0
100393,r1307,repullulo,v,v1spia--1-,repullul repullulau repullulat,repullulo,0
100397,r1324,rescio,v,v1spia--4-,resc resciu rescit,rescio,0
25556,o0690,omen,n,n-s---nn3-,omin,omen,1
40281,a0882,aliatum,n,n-s---nn2-,aliat,aliatum,0
100401,r7042,responsus,n,n-s---mn4-,respons,responsus,0
100403,r1364,restito,v,v1spia--1-,restit restitau restitat,restito,0
100404,r1386,retero,v,v1spia--3-,reter - retrit,retero,0
100425,r0840,rubeta,n,n-s---fn1-,rubet,rubeta,0
100406,r0574,retis,n,n-s---mn3i,ret,retis,0
100437,100437,ruscus,n,n-s---fn2-,rusc,ruscus,0
100405,100405,retinens,a,aps---an3i,retinent retinent retinent,retinens,0
100408,r1415,retrudo,v,v1spia--3-,retrud - retrus,retrudo,0
100409,r1418,reualesco,v,v1spia--3-,reualesc reualu -,reualesco,0
100411,r1439,reuilesco,v,v1spia--3-,reuilesc - -,reuilesco,0
100462,100462,Samiarius,n,n-s---mn2-,Samiari,Samiarius,0
100412,r0641,reuolubilis,a,aps---cn3i,reuolubil reuolubil reuolubil,reuolubilis,0
100410,100410,reuerens,a,aps---an3i,reuerent reuerent reuerent,reuerens,0
100413,100413,rhadine,n,n-s---fn1g,rhadin,rhadine,0
100414,100414,rhetorice,n,n-s---fn1g,rhetoric,rhetorice,0
100415,100415,rhombos,n,n-s---mn2g,rhomb,rhombos,0
100418,100418,ridicularia,n,n-p---nn3i,ridicular,ridicularia,0
100419,100419,rigens,a,aps---an3i,rigent rigent rigent,rigens,0
100416,r0959,ricinus,n,n-s---mn2-,ricin,ricinus,0
100421,100421,riualis,n,n-s---mn3i,riual,riualis,0
100420,r1458,rigido,v,v1spia--1-,rigid rigidau rigidat,rigido,0
100424,100424,rubens,a,aps---an3i,rubent rubent rubent,rubens,0
100422,r0790,rorifer,a,aps---mn1r,rorifer rorifer rorifer,rorifer,0
100428,100428,rubus,n,n-s---fn2-,rub,rubus,0
100429,r0855,ructabundus,a,aps---mn1-,ructabund ructabund ructabund,ructabundus,0
100432,r9872,rudis,a,aps---cn3i,rud rud rud,rudis,0
100440,100440,rusum,r,rp--------,,rusum,0
100433,r0872,rudis,n,n-s---fn3i,rud,rudis,0
100441,100441,rutilans,a,aps---an3i,rutilant rutilant rutilant,rutilans,0
100443,100443,saccatus,a,aps---mn1-,saccat saccat saccat,saccatus,0
