id,uri,lemma,pos,morpho,principal_parts,irregular_forms,alternative_forms,pronunciation,prosody,validated
21756,c3923,conuiuium,n,n-s---nn2-,conuiui,,,[kɔnˈwiː.wi.ũ],conuiuium,1
21757,c3931,conuoco,v,v1spia--1-,conuoc conuocau conuocat,,,[ˈkɔn.wɔ.koː],conuoco,1
21759,c3942,conuulsio,n,n-s---fn3-,conuulsion,,,[kɔ.n̪ʊ.'jʊɫ.sɪ̣.jɔ],conuulsio,1
21760,c3948,cooperator,n,n-s---mn3-,cooperator,,,[kɔ.ɔ.pɛˈraː.tɔr],cooperator,1
21761,c3949,cooperculum,n,n-s---nn2-,coopercul,,,[kɔ.jɔ.'pɛr.kʊ.ɫũː],cooperculum,1
21762,c3950,cooperimentum,n,n-s---nn2-,cooperiment,,,[kɔ.jɔ.pɛ.rɪ.'mɛn̪.t̪ũː],cooperimentum,1
21764,c3953,coopertorium,n,n-s---nn2-,coopertori,,,[kɔ.jɔ.pɛr.'t̪ɔ.rɪ̣.jũː],coopertorium,1
21766,c3955,coopto,v,v1spia--1-,coopt cooptau cooptat,,,[kɔˈɔp.toː],coopto,1
21768,c3959,cophinus,n,n-s---mn2-,cophin,,,[ˈkɔ.pʰɪ.nʊs],cophinus,1
21769,c3960,copia,n,n-s---fn1-,copi,,,/ˈkoː.pi.a/,copia,1
120000,120000,ossilegium,n,n-s---nn2-,ossilegi,,,[ɔs.sɪ.'lɛ.gɪ̣.jũː],ossilegium,0
21771,c6962,copiositas,n,n-s---fn3-,copiositat,,,[kɔ.pɪ̣.'jɔ.sɪ.t̪as],copiositas,1
21772,c3964,copiosus,a,aps---mn1-,copios copios copios,,,[koː.pɪˈoː.sʊs],copiosus,1
21773,c1053,copula,n,n-s---fn1-,copul,,,[ˈkoː.pʊ.ɫa],copula,1
21774,c3974,copulatio,n,n-s---fn3-,copulation,,,[kɔ.pʊ.'la.t̪ɪ̣.jɔ],copulatio,1
21777,c0229,coqua,n,n-s---fn1-,coqu,,,['kɔ.kʷa],coqua,1
