id,type,source,target
203876,@,104531,104501
203877,@,104532,104537
203878,@,104533,104532
203879,@,104534,104530
203880,@,104535,104511
203881,@,104536,104530
203882,@,104537,104452
203883,@,104538,104537
203884,@,104539,104538
203885,@,104540,104538
203886,@,104541,104538
203887,@,104542,105715
203888,%p,104542,106587
203889,@,104543,104542
203890,@,104544,104537
203891,@,104546,104374
203892,%p,104546,104556
203893,@,104547,104546
203894,@,104548,104546
203895,@,104549,104546
203896,@,104550,104546
203897,@,104551,104549
203898,@,104552,104549
203899,@,104553,104549
203900,@,104554,104553
203901,@,104555,104546
203902,@,104556,103489
203903,@,104557,104555
203904,@,104558,104555
203905,@,104559,104555
203906,@,104560,104555
203907,@,104561,104373
203908,@,104562,104561
203909,@,104563,104561
203910,@,104564,104561
203911,@,104566,104374
203912,@,104567,104566
203913,@,104568,104566
203914,@,104569,104566
203915,@,104570,104569
203916,@,104571,104570
203917,@,104572,104569
203918,@,104573,104566
203919,@,104574,106133
203920,@,104575,106133
203921,@,104576,106133
203922,@,104577,104576
203923,@,104578,106133
203924,@,104579,104568
203925,@,104580,104566
203926,@,104581,104566
203927,@,104582,104373
203928,@,104583,104582
203929,@,104584,104582
203930,@,104585,104584
203931,@,104587,104585
203932,@,104588,104584
203933,@,104589,104584
203934,@,104590,104582
203935,@,104591,104373
203936,@,104592,104591
203937,@,104593,104591
203938,@,104594,104592
203939,@,104595,104591
203940,@,104596,104591
203941,@,104597,104591
203942,@,104598,104374
203943,@,104599,104373
203944,@,104600,104373
203945,@,104601,104600
203946,@,104602,104600
203947,@,104603,104373
203948,@,104604,104603
