25,140678,,,
582876,97563,144890,,,
582883,97564,173493,,,
582890,97564,176537,,,
582897,97564,177541,,,
582904,97564,173418,,,
582911,97564,170825,,,
582918,97564,176432,,,
582925,97564,181023,,,
582932,97564,179698,,,
582937,97564,178145,,,
582941,97564,173809,,,
582948,97564,177355,,,
582955,97564,174250,,,
582962,97564,178323,,,
582969,97564,177768,,,
582976,97564,178728,,,
582983,97570,185413,,,
582990,97570,187878,,,
582997,97570,185815,,,
583004,97570,187342,,,
583011,97570,192452,,,
583018,97570,190909,,,
583025,97570,196019,,,
583032,97570,181671,,,
583039,97570,181660,,,
583044,97570,181645,,,
583048,97570,182162,,,
583055,97570,182155,,,
583062,97570,192898,,,
583069,97570,181629,,,
583076,97570,190326,,,
583083,97570,189796,,,
583090,97570,185165,,,
583097,97570,194869,,,
583104,97570,186143,,,
583111,97570,186128,,,
583118,97570,194315,,,
583125,97570,194308,,,
583132,97570,183548,,,
583139,97570,183541,,,
583146,97570,186603,,,
583151,97570,183009,,,
583155,97570,183517,,,
583162,97570,189133,,,
583169,97570,188606,,,
583176,97570,189091,,,
583183,97570,198281,,,
583190,97570,185981,,,
583197,97570,183916,,,
583204,97570,188516,,,
583211,97570,185949,,,
583218,97570,183883,,,
583225,97570,185932,,,
583232,97570,193605,,,
583239,97570,188980,,,
583246,97570,188449,,,
583253,97570,186383,,,
583258,97570,199184,,,
583262,97570,186888,,,
583269,97591,148308,,,
583276,97598,146936,,,
583283,97598,149478,,,
583290,97598,148566,,,
583297,97598,150958,,,
583304,97599,147363,,,
583311,97615,129761,,,
583318,97615,141126,,,
583325,97615,112048,,,
583332,97615,106399,,,
583339,97615,129805,,,
583346,97619,130825,,,
583353,97629,115130,,,
583360,97629,139430,,,
583365,97636,106680,,,
583369,97636,168786,,,
583376,97636,152416,,,
583383,97649,179149,,,
583390,97659,163565,,,
583397,97662,106228,,,
583404,97662,105724,,,
583411,97662,142773,,,
583418,97662,125969,,,
583425,97667,149311,,,
583432,97667,150567,,,
583439,97671,136211,,,
583446,97676,106253,,,
583453,97684,160883,,,
583460,97684,117085,,,
583467,97684,116311,,,
583472,97684,105548,,,
583476,97684,163268,,,
583483,97684,118077,,,
583490,97684,103600,,,
583497,97684,137512,,,
583504,97684,103695,,,
583511,97684,134531,,,
583518,97687,178543,,,
583525,97687,175966,,,
583532,97687,174546,,,
583539,97687,176558,,,
583546,97687,180910,,,
583553,97687,175637,,,
583560,97687,177430,,,
583567,97688,142329,,,
583574,97688,122834,,,
583579,97688,131513,,,
583583,97688,165810,,,
583590,97688,140678,,,
583597,97688,145220,,,
583604,97688,107786,,,
583611,97688,105724,,,
583618,97688,132828,,,
583625,97688,163515,,,
583632,97688,134801,,,
583639,97688,107619,,,
583646,97688,134723,,,
583653,97688,142881,,,
583660,97695,180201,,,
583667,97695,169939,,,
583674,97695,174009,,,
583681,97695,173953,,,
583686,97695,171834,,,
583690,97695,171827,,,
583697,97695,173842,,,
583704,97695,173816,,,
583711,97695,177885,,,
583718,97695,169615,,,
583725,97695,179838,,,
583732,97695,171593,,,
583739,97695,179747,,,
583746,97695,175600,,,
583753,97695,169406,,,
583760,97695,169324,,,
583767,97695,173309,,,
583774,97695,179417,,,
583781,97695,171147,,,
583788,97695,181346,,,
583793,97695,179288,,,
583797,97695,181319,,,
583804,97695,179211,,,
583811,97695,179180,,,
583818,97695,181207,,,
583825,97695,179138,,,
583832,97695,177080,,,
583839,97695,179063,,,
583846,97695,179040,,,
583853,97695,181081,,,
583860,97695,179025,,,
583867,97695,179014,,,
583874,97695,178989,,,
583881,97695,178950,,,
583888,97695,180954,,,
583895,97695,172702,,,
583900,97695,172682,,,
583904,97695,176746,,,
583911,97695,180793,,,
583918,97695,180756,,,
583925,97695,180698,,,
583932,97695,174528,,,
583939,97695,174515,,,
583946,97695,178595,,,
583953,97695,176537,,,
583960,97695,174479,,,
583967,97695,176497,,,
583974,97695,172366,,,
583981,97695,176432,,,
583988,97695,171872,,,
583995,97695,171861,,,
584002,97695,176403,,,
584007,97695,174314,,,
584011,97695,170171,,,
584018,97695,172184,,,
584025,97695,172144,,,
584032,97695,172077,,,
584039,97695,180241,,,
584046,97714,195833,,,
584053,97714,195826,,,
584060,97714,184680,,,
584067,97714,182736,,,
584074,97714,192188,,,
584081,97714,195850,,,
584088,97716,172020,,,
584095,97716,174044,,,
584102,97716,171981,,,
584109,97716,169920,,,
584114,97716,171948,,,
584118,97716,171939,,,
584125,97716,171896,,,
584132,97716,171876,,,
584139,97716,171865,,,
584146,97716,171852,,,
584153,97716,175920,,,
584160,97716,180000,,,
584167,97716,173830,,,
584174,97716,171774,,,
584181,97716,169699,,,
584188,97716,177279,,,
584195,97716,181350,,,
584202,97716,181340,,,
584209,97716,181320,,,
584216,97716,179242,,,
584221,97716,175106,,,
584225,97716,179177,,,
584232,97716,179167,,,
584239,97716,181193,,,
584246,97716,179129,,,
584253,97716,170902,,,
584260,97716,170867,,,
584267,97716,179035,,,
584274,97716,176977,,,
584281,97716,179014,,,
584288,97716,176927,,,
584295,97716,181011,,,
584302,97716,174852,,,
584309,97716,176878,,,
584316,97716,172739,,,
584323,97716,180882,,,
584328,97716,170622,,,
584332,97716,172656,,,
584339,97716,180825,,,
584346,97716,180806,,,
584353,97716,180785,,,
584360,97716,178701,,,
584367,97716,172525,,,
584374,97716,172510,,,
584381,97716,172486,,,
584388,97716,174521,,,
584395,97716,174506,,,
584402,97716,172447,,,
584409,97716,174484,,,
584416,97716,180615,,,
584423,97716,178552,,,
584430,97716,172384,,,
584435,97716,174418,,,
584439,97716,172355,,,
584446,97716,176437,,,
584453,97716,178459,,,
584460,97716,180485,,,
584467,97716,174320,,,
584474,97716,172245,,,
584481,97716,178353,,,
584488,97716,176287,,,
584495,97716,177860,,,
584502,97716,169644,,,
584509,97716,179851,,,
584516,97716,173683,,,
584523,97716,179796,,,
584530,97716,171592,,,
584537,97716,179759,,,
584542,97716,173576,,,
584546,97716,175624,,,
584553,97716,175600,,,
584560,97716,175570,,,
584567,97716,169395,,,
584574,97716,175485,,,
584581,97716,171279,,,
584588,97716,179432,,,
584595,97716,179417,,,
584602,97716,181410,,,
584609,97716,180376,,,
584616,97716,176261,,,
584623,97716,180328,,,
584630,97716,180290,,,
584637,97716,180256,,,
584644,97716,180241,,,
584649,97716,174085,,,
584653,97717,182385,,,
584660,97741,180726,,,
584667,97741,173516,,,
584674,97741,179129,,,
584681,97741,178598,,,
584688,97741,172425,,,
584695,97741,177519,,,
584702,97741,179033,,,
584709,97741,172368,,,
584716,97741,179528,,,
584723,97741,181021,,,
584730,97741,171269,,,
584737,97741,177394,,,
584744,97741,176325,,,
584751,97741,174250,,,
584756,97741,172704,,,
584760,97741,174225,,,
584767,97741,180350,,,
584774,97741,175728,,,
584781,97741,175693,,,
584788,97741,175686,,,
584795,97741,174639,,,
584802,97741,177675,,,
584809,97744,163125,,,
584816,97744,148324,,,
584823,97747,121909,,,
584830,97747,167787,,,
584837,97750,138623,,,
584844,97750,129758,,,
584851,97750,137932,,,
584858,97750,144704,,,
584863,97750,105648,,,
584867,97750,137381,,,
584874,97750,118292,,,
584881,97750,103430,,,
584888,97784,178162,,,
584895,97784,178127,,,
584902,97784,180147,,,
584909,97784,176017,,,
584916,97784,178041,,,
584923,97784,169803,,,
584930,97784,171820,,,
584937,97784,179993,,,
584944,97784,169735,,,
584951,97784,169688,,,
584958,97784,171682,,,
584965,97784,179810,,,
584970,97784,173648,,,
584974,97784,171563,,,
584981,97784,175600,,,
584988,97784,179661,,,
584995,97784,169323,,,
585002,97784,179487,,,
585009,97784,177400,,,
585016,97784,177355,,,
585023,97784,171199,,,
585030,97784,171163,,,
585037,97784,181296,,,
585044,97784,177146,,,
585051,97784,181210,,,
585058,97784,177081,,,
585065,97784,181133,,,
585072,97784,170873,,,
585077,97784,181095,,,
585081,97784,181083,,,
585088,97784,176957,,,
585095,97784,170788,,,
585102,97784,170781,,,
585109,97784,170760,,,
585116,97784,180956,,,
585123,97784,170686,,,
585130,97784,180885,,,
585137,97784,180821,,,
585144,97784,180771,,,
585151,97784,180753,,,
585158,97784,180737,,,
585165,97784,180718,,,
585172,97784,174521,,,
585179,97784,178601,,,
585184,97784,170396,,,
585188,97784,178584,,,
585195,97784,174425,,,
585202,97784,176417,,,
585209,97784,180483,,,
585216,97784,170161,,,
585223,97784,178329,,,
585230,97784,180358,,,
585237,97784,180345,,,
585244,97784,170024,,,
585251,97794,141694,,,
585258,97812,170359,,,
585265,97812,176951,,,
585272,97812,171678,,,
585279,97817,188400,,,
585286,97817,188347,,,
585291,97817,194485,,,
585295,97817,189349,,,
585302,97817,194454,,,
585309,97817,190854,,,
585316,97817,192339,,,
585323,97817,187205,,,
585330,97817,192296,,,
585337,97817,182546,,,
585344,97817,194297,,,
585351,97817,184521,,,
585358,97817,182949,,,
585365,97817,182944,,,
585372,97817,186505,,,
585379,97817,192119,,,
585386,97817,181815,,,
585393,97817,195093,,,
585398,97819,183048,,,
585402,97824,123240,,,
585409,97824,137043,,,
585416,97824,127415,,,
585423,97824,122887,,,
585430,97826,183243,,,
585437,97827,169909,,,
585444,97827,176108,,,
585451,97827,174848,,,
585458,97835,148713,,,
585465,97835,147396,,,
585472,97835,147371,,,
585479,97835,147846,,,
585486,97838,103883,,,
585493,97838,146087,,,
585500,97838,136588,,,
585505,97840,153045,,,
585509,97849,118780,,,
585516,97849,117089,,,
585523,97849,125281,,,
585530,97849,142408,,,
585537,97849,162749,,,
585544,97849,124205,,,
585551,97849,116515,,,
585558,97849,126096,,,
585565,97854,193913,,,
585572,97867,147574,,,
585579,97871,129618,,,
585586,97872,122098,,,
585593,97872,144987,,,
585600,97872,116925,,,
585607,97872,144917,,,
585612,97872,107139,,,
585616,97873,162803,,,
585623,97873,105918,,,
585630,97873,141222,,,
585637,97873,116571,,,
585644,97873,124211,,,
585651,97873,123144,,,
585658,97873,141554,,,
585665,97873,203998,,,
585672,97873,148672,,,
585679,97873,126615,,,
585686,97873,126083,,,
585693,97873,120431,,,
585700,97873,141387,,,
585707,97873,104450,,,
585714,97829,128239,,,
585719,97829,120274,,,
585723,97829,148276,,,
585730,97829,106404,,,
585737,97811,125038,,,
585744,97894,171902,,,
585751,97894,172655,,,
585758,97894,178923,,,
585765,97894,172642,,,
585772,97894,171990,,,
585779,97894,173009,,,
585786,97894,175943,,,
585793,97894,180158,,,
585800,97894,172325,,,
585807,97894,171797,,,
585814,97894,171920,,,
585821,97894,175751,,,
585826,97894,179457,,,
585830,97930,180460,,,
585837,97901,132858,,,
585844,97901,116590,,,
585851,97901,138725,,,
585858,97901,169176,,,
585865,97901,125500,,,
585872,97901,104380,,,
585879,97901,121141,,,
585886,97901,136868,,,
585893,97901,136733,,,
585900,97901,117011,,,
585907,97901,131468,,,
585914,97901,120962,,,
585921,97907,104691,,,
585928,97907,124261,,,
585933,97907,140126,,,
585937,97907,105174,,,
585944,97907,163265,,,
585951,97907,163258,,,
585958,97907,169132,,,
585965,97907,123649,,,
585972,97907,169233,,,
585979,97907,145034,,,
585986,97907,103683,,,
585993,97908,144787,,,
586000,97908,123752,,,
586007,97910,179450,,,
586014,97910,179559,,,
586021,97910,180060,,,
586028,97910,179530,,,
586035,97910,179394,,,
586040,97910,180661,,,
586044,97910,172959,,,
586051,97913,124149,,,
586058,97920,163448,,,
586065,97920,138184,,,
586072,97929,172014,,,
586079,97929,170445,,,
586086,97929,178201,,,
586093,97951,129972,,,
586100,97944,178162,,,
586107,97944,176615,,,
586114,97944,181213,,,
586121,97944,181206,,,
586128,97944,180686,,,
586135,97944,172481,,,
586142,97944,172972,,,
586147,97944,179103,,,
586151,97944,176537,,,
586158,97944,171922,,,
586165,97944,172425,,,
