,\,40842,58055
615214,\,128409,133259
615215,\,48343,133259
615216,\,27465,133259
615217,\,128411,133259
615218,\,133135,133259
615219,\,128414,133259
615220,\,128415,133259
615221,\,128416,133259
615222,\,128417,133259
615223,\,128418,133259
615224,\,128419,133259
615225,\,42226,133259
615226,\,128420,133259
615227,\,128421,133259
615228,\,100747,133259
615229,\,32022,133259
615230,\,128422,133259
615231,\,128424,133259
615232,\,128425,133259
615233,\,128426,133259
615234,\,128427,133259
615235,\,44181,133259
615236,\,128428,133259
615237,\,128429,133259
615238,\,128430,133259
