,\,40842,58055
612467,/,32798,101411
612468,/,101411,132176
612469,/,32798,54017
612470,/,32798,49100
612471,\,19148,132177
612472,\,19147,132177
612473,\,37717,132177
612474,\,19150,132177
612475,/,132177,19147
612476,/,132766,19147
612477,/,101412,19147
612478,/,51972,19147
612479,/,46023,19147
612480,/,19147,37717
612481,/,101413,19147
612482,/,101414,19147
612483,/,132177,19148
612484,/,132766,19148
612485,/,101412,19148
612486,/,19148,37717
612487,/,40184,19148
612488,/,101413,19148
612489,/,101414,19148
612490,/,132766,46023
612491,/,101412,46023
612492,/,56367,46023
612493,/,46023,37717
612494,/,101413,46023
612495,/,101414,46023
612496,\,46023,56367
612497,/,56367,132177
612498,/,132766,56367
612499,/,101412,56367
612500,/,101413,56367
612501,/,101414,56367
612502,/,132177,37717
612503,/,132766,37717
612504,/,101412,37717
612505,/,101413,37717
612506,/,19150,37717
612507,/,101414,37717
612508,/,40184,132177
612509,/,132766,40184
612510,/,101412,40184
612511,/,101413,40184
612512,/,101414,40184
612513,/,101416,19151
612514,/,101416,101417
612515,/,101417,101416
612516,/,57503,40516
612517,/,101428,31848
612518,/,31848,19153
612519,/,26884,19153
612520,/,19153,27466
612521,/,19153,53912
612522,/,53912,19153
612523,/,19156,19154
612524,/,19155,19156
612525,/,54093,19156
612526,/,19161,19159
612527,/,19159,138778
612528,/,138778,19159
612529,/,20527,19159
612530,/,19159,138797
612531,/,138797,19159
612532,/,19159,138804
612533,/,138804,19159
612534,/,19159,138815
612535,/,138815,19159
612536,/,19159,138830
612537,/,138830,19159
612538,/,19159,138833
612539,/,138833,19159
612540,/,19159,138861
612541,/,138861,19159
612542,/,26323,19159
612543,/,19159,138876
612544,/,138876,19159
612545,/,27497,19159
612546,/,104999,19160
612547,/,40504,19160
612548,/,22358,19160
612549,/,22576,19160
612550,/,23147,19160
612551,/,24400,19160
612552,/,40900,19160
612553,/,122968,19160
612554,/,26442,19160
612555,/,19160,27053
612556,/,49344,19160
612557,/,101432,49344
612558,/,57127,19163
612559,/,19164,19163
612560,\,19163,19164
612561,/,19166,97491
612562,/,19165,19166
612563,/,35003,19166
612564,/,125908,43835
612565,/,43835,34280
612566,/,34280,43835
612567,/,125916,43835
612568,/,125920,43835
612569,/,26966,43835
612570,/,101442,19167
612571,/,19167,101442
612572,/,38615,19169
612573,/,20947,19169
612574,/,21572,19169
612575,/,22383,19169
612576,/,23160,19169
612577,/,40463,19169
612578,/,45332,19169
612579,/,19169,27225
612580,/,27473,19169
612581,/,40104,39096
612582,/,39096,40104
612583,/,19172,19170
612584,/,19170,19171
612585,/,43692,19171
612586,/,19172,19171
612587,/,19171,19173
612588,/,121485,19175
612589,/,19175,27285
612590,/,39191,19176
612591,/,42989,19177
612592,/,125330,19178
612593,/,27674,19178
612594,/,27685,19179
612595,/,97494,54689
612596,/,19180,54689
612597,/,54689,19181
612598,/,19181,27666
612599,\,19176,39191
612600,/,20956,39191
612601,/,21616,39191
612602,/,23172,39191
612603,/,24318,39191
612604,/,115019,39191
612605,/,36565,39191
612606,/,25938,39191
612607,/,26255,39191
612608,/,26832,39191
612609,/,27394,39191
612610,/,55186,39191
612611,/,105024,19182
612612,/,99098,19182
612613,/,115094,19182
612614,/,119338,19182
612615,/,129105,19182
612616,/,19182,27772
612617,/,36906,19187
612618,/,19188,36906
612619,\,19187,36906
612620,/,19189,19190
612621,/,19191,19190
612622,/,19194,19190
612623,/,19189,19192
612624,/,19190,19192
612625,/,19191,19192
612626,/,19194,19192
612627,/,50850,19192
612628,/,19189,19193
612629,/,19191,19193
612630,\,19190,19194
612631,\,19192,19194
612632,/,19194,27919
612633,/,40627,40566
612634,/,46182,40566
612635,/,40566,132178
612636,/,19204,19203
612637,\,19203,19204
612638,/,122543,19204
612639,\,19206,101488
612640,\,101491,101488
612641,\,57523,44706
612642,/,44706,20800
612643,/,44706,100758
612644,/,100758,44706
612645,/,44706,43109
612646,/,43109,44706
612647,/,30113,19208
612648,/,38685,19208
612649,/,19210,19211
612650,/,49278,19211
612651,/,101499,19211
612652,/,55460,19211
612653,/,19213,19211
612654,/,19211,55789
612655,/,49278,55460
612656,/,45798,53083
612657,/,101500,53083
612658,/,47470,53083
612659,/,19216,53083
612660,/,101502,53083
612661,/,19217,53083
