"TYPE","SOURCE","TARGET","W_SOURCE","W_TARGET"
"^","v#00931794","v#00931668","",""
"^","v#00931668","v#00931794","",""
"^","v#01034588","v#00924275","",""
"^","v#00924275","v#01034588","",""
"^","v#01006993","v#00924275","",""
"^","v#00924275","v#01006993","",""
"^","v#00942316","v#00924275","",""
"^","v#00924275","v#00942316","",""
"^","v#00923454","v#00923284","",""
"^","v#00923284","v#00923454","",""
"^","v#00922660","v#00922436","",""
"^","v#00922436","v#00922660","",""
"^","v#01093344","v#00919962","",""
"^","v#00919962","v#01093344","",""
"^","v#00921958","v#00919962","",""
"^","v#00919962","v#00921958","",""
"^","v#01487556","v#00914799","",""
"^","v#00914799","v#01487556","",""
"^","v#00905714","v#00903723","",""
"^","v#00903723","v#00905714","",""
"^","v#01565524","v#00896834","",""
"^","v#00896834","v#01565524","",""
"^","v#00896568","v#00894764","",""
"^","v#00894764","v#00896568","",""
"^","v#00897525","v#00894764","",""
"^","v#00894764","v#00897525","",""
"^","v#01067122","v#00894368","",""
"^","v#00894368","v#01067122","",""
"^","v#01565524","v#00893075","",""
"^","v#00893075","v#01565524","",""
"^","v#01561324","v#00893075","",""
"^","v#00893075","v#01561324","",""
"^","v#01855070","v#00881672","",""
"^","v#00881672","v#01855070","",""
"^","v#01846168","v#00881541","",""
"^","v#00881541","v#01846168","",""
"^","v#00879090","v#00877947","",""
"^","v#00877947","v#00879090","",""
"^","v#01476582","v#00866136","",""
"^","v#00866136","v#01476582","",""
"^","v#00859683","v#00859460","",""
"^","v#00859460","v#00859683","",""
"^","v#00887606","v#00857046","",""
"^","v#00857046","v#00887606","",""
"^","v#00857738","v#00857046","",""
"^","v#00857046","v#00857738","",""
"^","v#00857295","v#00857046","",""
"^","v#00857046","v#00857295","",""
"^","v#01681144","v#00856275","",""
"^","v#00856275","v#01681144","",""
"^","v#01715324","v#00854691","",""
"^","v#00854691","v#01715324","",""
"^","v#01066360","v#00852114","",""
"^","v#00852114","v#01066360","",""
"^","v#00855412","v#00852114","",""
"^","v#00852114","v#00855412","",""
"^","v#00971544","v#00844770","",""
"^","v#00844770","v#00971544","",""
"^","v#00845185","v#00844770","",""
"^","v#00844770","v#00845185","",""
"^","v#00969058","v#00843947","",""
"^","v#00843947","v#00969058","",""
"^","v#00968153","v#00843947","",""
"^","v#00843947","v#00968153","",""
"^","v#01303191","v#00843947","",""
"^","v#00843947","v#01303191","",""
"^","v#00845185","v#00841706","",""
"^","v#00841706","v#00845185","",""
"^","v#01730794","v#00838192","",""
"^","v#00838192","v#01730794","",""
"^","v#01083224","v#00826635","",""
"^","v#00826635","v#01083224","",""
"^","v#00827155","v#00826635","",""
"^","v#00826635","v#00827155","",""
"^","v#00983020","v#00826635","",""
"^","v#00826635","v#00983020","",""
"^","v#00896678","v#00826635","",""
"^","v#00826635","v#00896678","",""
"^","v#01095514","v#00826635","",""
"^","v#00826635","v#01095514","",""
"^","v#01751966","v#00826635","",""
"^","v#00826635","v#01751966","",""
"^","v#01698727","v#00826635","",""
"^","v#00826635","v#01698727","",""
"^","v#01348442","v#00820743","",""
"^","v#00820743","v#01348442","",""
"^","v#00798247","v#00798099","",""
"^","v#00798099","v#00798247","",""
"^","v#00818125","v#00795711","",""
"^","v#00795711","v#00818125","",""
"^","v#00799582","v#00795711","",""
"^","v#00795711","v#00799582","",""
"^","v#00815096","v#00795606","",""
"^","v#00795606","v#00815096","",""
"^","v#00814086","v#00793267","",""
"^","v#00793267","v#00814086","",""
"^","v#00794075","v#00793267","",""
"^","v#00793267","v#00794075","",""
"^","v#00793972","v#00793267","",""
"^","v#00793267","v#00793972","",""
"^","v#01551588","v#00787825","",""
"^","v#00787825","v#01551588","",""
"^","v#00815096","v#00786286","",""
"^","v#00786286","v#00815096","",""
"^","v#00772215","v#00771991","",""
"^","v#00771991","v#00772215","",""
"^","v#00952950","v#00767446","",""
"^","v#00767446","v#00952950","",""
"^","v#00767910","v#00738369","",""
"^","v#00738369","v#00767910","",""
"^","v#00734982","v#00732096","",""
"^","v#00732096","v#00734982","",""
"^","v#00733188","v#00727813","",""
"^","v#00727813","v#00733188","",""
"^","v#01270877","v#00704451","",""
"^","v#00704451","v#01270877","",""
"^","v#00678069","v#00677950","",""
"^","v#00677950","v#00678069","",""
"^","v#01600292","v#00673751","",""
"^","v#00673751","v#01600292","",""
"^","v#01733418","v#00651246","",""
"^","v#00651246","v#01733418","",""
"^","v#01501559","v#00645935","",""
"^","v#00645935","v#01501559","",""
"^","v#00745102","v#00641935","",""
"^","v#00641935","v#00745102","",""
"^","v#00712888","v#00638109","",""
"^","v#00638109","v#00712888","",""
"^","v#00773894","v#00621875","",""
"^","v#00621875","v#00773894","",""
"^","v#00660610","v#00618000","",""
"^","v#00618000","v#00660610","",""
"^","v#01856632","v#00546534","",""
"^","v#00546534","v#01856632","",""
"^","v#00742899","v#00538265","",""
"^","v#00538265","v#00742899","",""
"^","v#01131307","v#00538265","",""
"^","v#00538265","v#01131307","",""
"^","v#01120650","v#00538265","",""
"^","v#00538265","v#01120650","",""
"^","v#00705520","v#00538265","",""
"^","v#00538265","v#00705520","",""
"^","v#00605842","v#00515892","",""
"^","v#00515892","v#00605842","",""
"^","v#01694483","v#00510727","",""
"^","v#00510727","v#01694483","",""
"^","v#01624484","v#00510727","",""
"^","v#00510727","v#01624484","",""
"^","v#01007880","v#00510727","",""
"^","v#00510727","v#01007880","",""
"^","v#01793672","v#00484458","",""
"^","v#00484458","v#01793672","",""
"^","v#01802606","v#00476269","",""
"^","v#00476269","v#01802606","",""
"^","v#00454401","v#00453556","",""
"^","v#00453556","v#00454401","",""
"^","v#01805970","v#00432790","",""
"^","v#00432790","v#01805970","",""
"^","v#00482444","v#00430966","",""
"^","v#00430966","v#00482444","",""
"^","v#01123253","v#00426277","",""
"^","v#00426277","v#01123253","",""
"^","v#00426942","v#00426277","",""
"^","v#00426277","v#00426942","",""
"^","v#00427308","v#00426277","",""
"^","v#00426277","v#00427308","",""
"^","v#01815982","v#00422121","",""
"^","v#00422121","v#01815982","",""
"^","v#00429256","v#00421500","",""
"^","v#00421500","v#00429256","",""
"^","v#00418002","v#00417819","",""
"^","v#00417819","v#00418002","",""
"^","v#00413589","v#00410666","",""
"^","v#00410666","v#00413589","",""
"^","v#01203288","v#00361885","",""
"^","v#00361885","v#01203288","",""
"^","v#00338789","v#00335506","",""
"^","v#00335506","v#00338789","",""
"^","v#01470287","v#00322518","",""
"^","v#00322518","v#01470287","",""
"^","v#00812836","v#00315864","",""
"^","v#00315864","v#00812836","",""
"^","v#01163110","v#00315864","",""
"^","v#00315864","v#01163110","",""
"^","v#01823352","v#00289432","",""
"^","v#00289432","v#01823352","",""
"^","v#00419748","v#00274169","",""
"^","v#00274169","v#00419748","",""
"^","v#01830717","v#00272798","",""
"^","v#00272798","v#01830717","",""
"^","v#00297950","v#00250254","",""
"^","v#00250254","v#00297950","",""
"^","v#00297200","v#00234840","",""
"^","v#00234840","v#00297200","",""
"^","v#00239707","v#00234840","",""
"^","v#00234840","v#00239707","",""
"^","v#00304578","v#00228033","",""
"^","v#00228033","v#00304578","",""
"^","v#01474172","v#00221571","",""
"^","v#00221571","v#01474172","",""
"^","v#01825948","v#00217890","",""
"^","v#00217890","v#01825948","",""
"^","v#01715324","v#00215001","",""
"^","v#00215001","v#01715324","",""
"^","v#00305332","v#00210830","",""
"^","v#00210830","v#00305332","",""
"^","v#00338650","v#00210830","",""
"^","v#00210830","v#00338650","",""
"^","v#00577163","v#00206314","",""
"^","v#00206314","v#00577163","",""
"^","v#00490924","v#00206314","",""
"^","v#00206314","v#00490924","",""
"^","v#00457036","v#00206314","",""
"^","v#00206314","v#00457036","",""
"^","v#01129019","v#00206314","",""
"^","v#00206314","v#01129019","",""
"^","v#00283094","v#00206314","",""
"^","v#00206314","v#00283094","",""
"^","v#01856321","v#00206314","",""
"^","v#00206314","v#01856321","",""
"^","v#01359938","v#00206040","",""
"^","v#00206040","v#01359938","",""
"^","v#00528650","v#00201177","",""
"^","v#00201177","v#00528650","",""
"^","v#00420545","v#00190386","",""
"^","v#00190386","v#00420545","",""
"^","v#01004273","v#00190386","",""
"^","v#00190386","v#01004273","",""
"^","v#00519247","v#00179152","",""
"^","v#00179152","v#00519247","",""
"^","v#00774319","v#00168071","",""
"^","v#00168071","v#00774319","",""
"^","v#01732007","v#00158081","",""
"^","v#00158081","v#01732007","",""
"^","v#01409672","v#00158081","",""
"^","v#00158081","v#01409672","",""
"^","v#00509840","v#00148162","",""
"^","v#00148162","v#00509840","",""
"^","v#00432991","v#00118898","",""
"^","v#00118898","v#00432991","",""
"^","v#00752987","v#00101662","",""
"^","v#00101662","v#00752987","",""
"^","v#00750961","v#00101662","",""
"^","v#00101662","v#00750961","",""
"^","v#00169694","v#00101662","",""
"^","v#00101662","v#00169694","",""
"^","v#00755208","v#00100153","",""
"^","v#00100153","v#00755208","",""
"^","v#00139972","v#00100153","",""
"^","v#00100153","v#00139972","",""
"^","v#00276092","v#00100153","",""
"^","v#00100153","v#00276092","",""
"^","v#00231062","v#00100153","",""
"^","v#00100153","v#00231062","",""
"^","v#00311485","v#00100153","",""
"^","v#00100153","v#00311485","",""
"^","v#00301614","v#00100153","",""
"^","v#00100153","v#00301614","",""
"^","v#01362833","v#00100153","",""
"^","v#00100153","v#01362833","",""
"^","v#01724862","v#00100153","",""
"^","v#00100153","v#01724862","",""
"^","v#01730120","v#00100153","",""
"^","v#00100153","v#01730120","",""
"^","v#01234043","v#00098574","",""
"^","v#00098574","v#01234043","",""
"^","v#00264783","v#00098574","",""
"^","v#00098574","v#00264783","",""
"^","v#00140682","v#00098574","",""
"^","v#00098574","v#00140682","",""
"^","v#01791776","v#00098574","",""
"^","v#00098574","v#01791776","",""
"^","v#01037483","v#00092585","",""
"^","v#00092585","v#01037483","",""
"^","v#01037328","v#00092585","",""
"^","v#00092585","v#01037328","",""
"^","v#01502738","v#00092585","",""
"^","v#00092585","v#01502738","",""
"^","v#00416229","v#00091645","",""
"^","v#00091645","v#00416229","",""
"^","v#01731610","v#00090879","",""
"^","v#00090879","v#01731610","",""
"^","v#00298808","v#00090879","",""
"^","v#00090879","v#00298808","",""
"^","v#01247076","v#00069962","",""
"^","v#00069962","v#01247076","",""
"^","v#01506611","v#00069271","",""
"^","v#00069271","v#01506611","",""
"^","v#00503304","v#00023623","",""
"^","v#00023623","v#00503304","",""
"^","v#00577669","v#00022011","",""
"^","v#00022011","v#00577669","",""
"^","v#00545165","v#00022011","",""
"^","v#00022011","v#00545165","",""
"^","v#00017304","v#00017157","",""
"^","v#00017157","v#00017304","",""
"^","v#00011707","v#00011065","",""
"^","v#00011065","v#00011707","",""
"^","v#00011707","v#00010240","",""
"^","v#00010240","v#00011707","",""
"^","v#00800309","v#00009805","",""
"^","v#00009805","v#00800309","",""
"^","v#00800164","v#00009805","",""
"^","v#00009805","v#00800164","",""
"^","v#00010635","v#00009805","",""
"^","v#00009805","v#00010635","",""
"^","v#01452333","v#00007023","",""
"^","v#00007023","v#01452333","",""
"^","v#01506611","v#00004183","",""
"^","v#00004183","v#01506611","",""
"^","v#00004570","v#00004183","",""
"^","v#00004183","v#00004570","",""
"^","v#00003763","v#00001740","",""
"^","v#00001740","v#00003763","",""
"^","v#00003142","v#00001740","",""
"^","v#00001740","v#00003142","",""
"^","v#00025612","v#00017506","",""
"^","v#00017506","v#00025612","",""
"^","v#00032951","v#00031161","",""
"^","v#00031161","v#00032951","",""
"^","v#00032951","v#00032005","",""
"^","v#00032005","v#00032951","",""
"^","v#00047342","v#00032556","",""
"^","v#00032556","v#00047342","",""
"^","v#00069271","v#00004570","",""
"^","v#00004570","v#00069271","",""
"^","v#00124634","v#00124529","",""
"^","v#00124529","v#00124634","",""
"^","v#00231062","v#00143282","",""
"^","v#00143282","v#00231062","",""
"^","v#00250254","v#00165451","",""
"^","v#00165451","v#00250254","",""
"^","v#00250254","v#00153130","",""
