lɔks],infelox,0
130460,130460,trapezita,n,n-s---mn1-,trapezit,,,[t̪ra.'pɛz.zɪ.t̪a],trapezita,0
130461,130461,trapezium,n,n-s---nn2-,trapezi,,,[t̪ra.'pɛz.zɪ̣.jũː],trapezium,0
130413,t1054,transmeatorius,a,aps---mn1-,transmeatori transmeatori transmeatori,,,[t̪raːn̪s.mɛ̣.ja.'t̪ɔ.rɪ̣.jʊs],transmeatorius,0
130416,t1060,transmissor,n,n-s---mn3-,transmissor,,,[t̪raːn̪s.'mɪs.sɔr],transmissor,0
130417,t1064,transmotio,n,n-s---fn3-,transmotion,,,[t̪raːn̪s.'mɔ.t̪ɪ̣.jɔ],transmotio,0
130418,t1065,transmundanus,a,aps---mn1-,transmundan transmundan transmundan,,,[t̪raːn̪s.'mʊn̪.d̪a.n̪ʊs],transmundanus,0
130419,t1066,transmutatio,n,n-s---fn3-,transmutation,,,[t̪raːn̪s.mʊ.'t̪a.t̪ɪ̣.jɔ],transmutatio,0
130420,t1071,transnominatio,n,n-s---fn3-,transnomination,,,[t̪raːn̪s.n̪ɔ.mɪ.'n̪a.t̪ɪ̣.jɔ],transnominatio,0
130421,t1073,transnubo,v,v1spia--3-,,,,['t̪raːn̪s.n̪ʊ.bɔ],transnubo,0
130423,t1079,transpertusus,a,aps---mn1-,transpertus transpertus transpertus,,,[t̪raːn̪s.'pɛr.t̪ʊ.sʊs],transpertusus,0
130429,t1086,transpunctorius,a,aps---mn1-,transpunctori transpunctori transpunctori,,,[t̪raːn̪s.pʊŋk.'t̪ɔ.rɪ̣.jʊs],transpunctorius,0
130430,t1087,transpungo,v,v1spia--3-,,,,[t̪raːn̪s.'pʊŋ.gɔ],transpungo,0
130437,t1092,transtillum,n,n-s---nn2-,transtill,,,[t̪raːn̪s.'t̪ɪɫ.ɫũː],transtillum,0
130438,t1095,transuado,v,v1spia--1-,transuad transuadau transuada,,,[t̪raːn̪.'sʊ.ja.d̪ɔ],transuado,0
130439,t1096,transuarico,v,v1spia--1-,transuaric transuaricau transuaricat,,,[t̪raːn̪.sʊ.'ja.rɪ.kɔ],transuarico,0
130441,t1098,transuecturarius,n,n-s---mn2-,transuecturari,,,[t̪raːn̪.sʊ.jɛk.t̪ʊ.'ra.rɪ̣.jʊs],transuecturarius,0
130443,t1100,transuena,n,n-s---mn1-,transuen,,,[t̪raːn̪.'sʊ.jɛ.n̪a],transuena,0
130444,t1101,transuendo,v,v1spia--3-,,,,[t̪raːn̪.sʊ.'jɛn̪.d̪ɔ],transuendo,0
130447,t1106,transuersim,r,rp--------,,,,['t̪raːn̪.sʊ.jɛrsĩː],transuersim,0
130448,t1107,transuersio,n,n-s---fn3-,transuersion,,,[t̪raːn̪.sʊ.'jɛr.sɪ̣.jɔ],transuersio,0
130450,t1111,transulmanus,a,aps---mn1-,transulman transulman transulman,,,[t̪raːn̪.'sʊɫ.ma.n̪ʊs],transulmanus,0
130451,t1113,transumo,v,v1spia--3-,transum transumps transumpt,,,['t̪raːn̪.sʊ.mɔ],transumo,0
130452,t1114,transumptio,n,n-s---fn3-,transumption,,,[t̪raːn̪.'sʊmp.t̪ɪ̣.jɔ],transumptio,0
130454,t1115,transumptiuus,a,aps---mn1-,transumptiu transumptiu transumptiu,,,[t̪raːn̪.'sʊmp.t̪ɪ.wʊs],transumptiuus,0
130455,t1119,transuoluo,v,v1spia--3-,,,,[t̪raːn̪.sʊ.'jɔ.lʊ.jɔ],transuoluo,0
130456,t1120,transuoratio,n,n-s---fn3-,transuoration,,,[t̪raːn̪.sʊ.jɔ.'ra.t̪ɪ̣.jɔ],transuoratio,0
130465,130465,trasenna,n,n-s---fn1-,trasenn,,,[t̪ra.'sɛn̪.n̪a],trasenna,0
130466,130466,traspicio,v,v1spia--3i,,,,[t̪ras.'pɪ.kɪ̣.jɔ],traspicio,0
130467,130467,traueho,v,v1spia--3-,traueh trauex trauect,,,['t̪ra.wɛ.hɔ],traueho,0
130468,130468,trauerto,v,v1spia--3-,trauert trauert trauers,,,[t̪ra.'wɛr.t̪ɔ],trauerto,0
130469,130469,trauio,v,v1spia--1-,traui trauiau trauiat,,,['t̪ra.wɪ̣.jɔ],trauio,0
130470,130470,traumaticum,n,n-s---nn2-,traumatic,,,[t̪raw.'ma.t̪ɪ.kũː],traumaticum,0
130474,130474,trecenarius,n,n-s---mn2-,trecenari,,,[t̪rɛ.kɛ.'n̪a.rɪ̣.jʊs],trecenarius,0
130475,130475,trecentenarius,a,aps---mn1-,trecentenari trecentenari trecentenari,,,[t̪rɛ.kɛn̪.t̪ɛ.'n̪a.rɪ̣.jʊs],trecentenarius,0
130478,130478,trechedipna,n,n-p---nn2-,trechedipn,,,[t̪rɛ.kʰɛ.'d̪ɪp.n̪a],trechedipna,0
130481,130481,treico,n,n-s---mn3-,treicon,,,['t̪rejkɔ],treico,0
130482,130482,tremefactio,n,n-s---fn3-,tremefaction,,,[t̪rɛ.mɛ.'fak.t̪ɪ̣.jɔ],tremefactio,0
130483,130483,trementer,r,rp--------,,,,[t̪rɛ.'mɛn̪.t̪ɛr],trementer,0
130485,130485,tremipes,a,aps---an3-,tremiped tremiped tremiped,,,['t̪rɛ.mɪ.pɛs],tremipes,0
130486,130486,tremisco,v,v1spia--3-,,,,[t̪rɛ.'mɪs.kɔ],tremisco,0
130488,130488,tremule,r,rp--------,,,,['t̪rɛ.mʊ.lɛ],tremule,0
130489,130489,tremulum,r,rp--------,,,,['t̪rɛ.mʊ.ɫũː],tremulum,0
130496,130496,triambi,n,n-p---mn2-,triamb,,,[t̪rɪ̣.'jam.bɪ],triambi,0
130498,130498,triangulatio,n,n-s---fn3-,triangulation,,,[t̪rɪ̣.jaŋ.'gʷla.t̪ɪ̣.jɔ],triangulatio,0
130500,130500,tribius,a,aps---mn1-,tribi tribi tribi,,,['t̪rɪ.bɪ̣.jʊs],tribius,0
130503,130503,tribreuis,n,n-s---mn3i,tribreu,,,['t̪rɪbr.ewɪs],tribreuis,0
130505,130505,tribulatus,a,aps---mn1-,tribulat tribulat tribulat,,,[t̪rɪ.'bʊ.la.t̪ʊs],tribulatus,0
130508,130508,tribunale,n,n-s---nn3i,tribunal,,,[t̪rɪ.'bʊ.n̪a.lɛ],tribunale,0
130510,130510,tricameratum,n,n-s---nn2-,tricamerat,,,[t̪rɪ.ka.'mɛ.ra.t̪ũː],tricameratum,0
130512,130512,tricennalia,n,n-p---nn3i,tricennal,,,[t̪rɪ.kɛn̪.'n̪a.lɪ̣.ja],tricennalia,0
130514,130514,tricensimani,n,n-p---mn2-,tricensiman,,,[t̪rɪ.keːn̪.'sɪ.ma.n̪ɪ],tricensimani,0
130515,130515,tricenteni,a,app---mn1-,tricenten tricenten tricenten,,,[t̪rɪ.'kɛn̪.t̪ɛ.n̪ɪ],tricenteni,0
130516,130516,tricenti,a,app---mn1-,tricent tricent tricent,,,[t̪rɪ.'kɛn̪.t̪ɪ],tricenti,0
130517,130517,tricesies,r,rp--------,,,,[t̪rɪ.'kɛ.sɪ̣.jɛs],tricesies,0
130521,130521,trichalcon,n,n-s---nn2-,trichalc,,,[t̪rɪ.'kʰaɫ.kɔn̪],trichalcon,0
130518,130518,Tricesimani,n,n-p---mn2-,Tricesiman,,,[t̪rɪ.kɛ.'sɪ.ma.n̪ɪ],Tricesimani,0
130462,130462,trapezophoron,n,n-s---nn2g,trapezophor,,,[t̪ra.pɛz.'zɔ.pʰɔ.rɔn̪],trapezophoron,0
130471,t1128,trebaciter,r,rp--------,,,,[t̪rɛ.'ba.kɪ.t̪ɛr],trebaciter,0
130472,t1129,trebax,a,aps---an3i,trebac trebac trebac,,,['t̪rɛ.baks],trebax,0
130473,t1130,trecenarius,a,aps---mn1-,trecenari trecenari trecenari,,,[t̪rɛ.kɛ.'n̪a.rɪ̣.jʊs],trecenarius,0
130477,t1136,trecentiens,r,rp--------,,,,[t̪rɛ.'kɛn̪.t̪ɪ̣.jeːn̪s],trecentiens,0
130479,t1139,tredecies,r,rp--------,,,,[t̪rɛ.'d̪ɛ.kɪ̣.jɛs],tredecies,0
130480,t1141,tredecimus,a,aps---mn1-,tredecim tredecim tredecim,,,[t̪rɛ.'d̪ɛ.kɪ.mʊs],tredecimus,0
130484,t1145,tremidus,a,aps---mn1-,tremid tremid tremid,,,['t̪rɛ.mɪ.d̪ʊs],tremidus,0
130487,t1147,tremissis,n,n-s---mn3i,tremiss,,,[t̪rɛ.'mɪs.sɪs],tremissis,0
130492,t1154,trepidulus,a,aps---mn1-,trepidul trepidul trepidul,,,[t̪rɛ.'pɪ.d̪ʊ.lʊs],trepidulus,0
130493,t1157,trepondo,n,n-s---nn--,-,,,[t̪rɛ.'pɔn̪.d̪ɔ],trepondo,0
130494,t1159,tressis,n,n-s---mn3i,tress,,,['t̪rɛs.sɪs],tressis,0
130495,t1160,triacontas,n,n-s---fn3-,triacontad,,,[t̪rɪ̣.ja.'kɔn̪.t̪as],triacontas,0
130499,t9989,tribaca,n,n-s---fn1-,tribac,,,['t̪rɪ.ba.ka],tribaca,0
130501,t1169,tribon,n,n-s---mn3-,tribon,,,['t̪rɪ.bɔn̪],tribon,0
130502,t1171,tribrachys,n,n-s---mn3g,tribrachy,,,['t̪rɪ.bra.kʰys],tribrachys,0
130504,t0326,tribula,n,n-s---fn1-,tribul,,,['t̪rɪ.bʊ.la],tribula,0
130506,t1175,tribulis,n,n-s---mn3i,tribul,,,['t̪rɪ.bʊ.lɪs],tribulis,0
130509,t1190,tributorius,a,aps---mn1-,tributori tributori tributori,,,[t̪rɪ.bʊ.'t̪ɔ.rɪ̣.jʊs],tributorius,0
130511,t1192,tricameratus,a,aps---mn1-,tricamerat tricamerat tricamerat,,,[t̪rɪ.ka.'mɛ.ra.t̪ʊs],tricameratus,0
130513,t1195,tricennalis,a,aps---cn3i,tricennal tricennal tricennal,,,[t̪rɪ.'kɛn̪.n̪a.lɪs],tricennalis,0
130520,t1201,tricessis,n,n-s---mn3i,tricess,,,[t̪rɪ.'kɛs.sɪs],tricessis,0
130522,t1202,trichalcum,n,n-s---nn2-,trichalc,,,[t̪rɪ.'kʰaɫ.kũː],trichalcum,0
130523,t1203,trichaptum,n,n-s---nn2-,trichapt,,,[t̪rɪ.'kʰap.t̪ũː],trichaptum,0
130524,t1204,trichias,n,n-s---mn1g,trichi,,,['t̪rɪ.kʰɪ̣.jas],trichias,0
130543,t1222,tricolon,n,n-s---nn2g,tricol,,28733,['t̪rɪ.kɔ.lɔn̪],tricolon,0
130533,130533,tricinus,a,aps---mn1-,tricin tricin tricin,,,['t̪rɪ.kɪ.n̪ʊs],tricinus,0
130534,130534,tricla,n,n-s---fn1-,tricl,,,['t̪rɪ.kla],tricla,0
130535,130535,triclinaris,a,aps---cn3i,triclinar triclinar triclinar,,,[t̪rɪ.'klɪ.n̪a.rɪs],triclinaris,0
130536,130536,triclinarius,n,n-s---mn2-,triclinari,,,[t̪rɪ.klɪ.'n̪a.rɪ̣.jʊs],triclinarius,0
130537,130537,tricliniarcha,n,n-s---mn1-,tricliniarch,,,[t̪rɪ.klɪ.'n̪ɪ̣.ja.rkʰa],tricliniarcha,0
130527,t1207,trichitis,n,n-s---fn3-,trichitid,,,['t̪rɪ.kʰɪ.t̪ɪs],trichitis,0
130538,130538,tricliniaria,n,n-p---nn3i,tricliniar,,,[t̪rɪ.klɪ.n̪ɪ̣.'ja.rɪ̣.ja],tricliniaria,0
130544,130544,tricolor,n,n-s---cn3-,tricolor,,,['t̪rɪ.kɔ.lɔr],tricolor,0
130545,130545,tricolos,a,aps---mn1g,tricol tricol tricol,,,['t̪rɪ.kɔ.lɔs],tricolos,0
130546,130546,tricolum,n,n-s---nn2-,tricol,,,['t̪rɪ.kɔ.ɫũː],tricolum,0
130550,130550,tricubitus,a,aps---mn1-,tricubit tricubit tricubit,,,[t̪rɪ.'kʊ.bɪ.t̪ʊs],tricubitus,0
130551,130551,tricurium,n,n-s---nn2-,tricuri,,,[t̪rɪ.'kʊ.rɪ̣.jũː],tricurium,0
130552,130552,tridacna,n,n-p---nn2-,tridacn,,,[t̪rɪ.'d̪ak.n̪a],tridacna,0
130555,130555,tridentipotens,n,n-s---mn3i,tridentipotent,,,[t̪rɪ.d̪ɛn̪.'t̪ɪ.pɔ.t̪eːn̪s],tridentipotens,0
130557,130557,triennia,n,n-p---nn3i,trienn,,,[t̪rɪ̣.'jɛn̪.n̪ɪ̣.ja],triennia,0
130559,130559,triental,n,n-s---nn3i,triental,,,[t̪rɪ̣.'jɛn̪.t̪aɫ],triental,0
130563,130563,trieris,n,n-s---fn3i,trier,,,['t̪rɪ̣.jɛ.rɪs],trieris,0
130564,130564,trifax,n,n-s---fn3-,trifac,,,['t̪rɪ.faks],trifax,0
130566,130566,trifida,n,n-s---fn1-,trifid,,,['t̪rɪ.fɪ.d̪a],trifida,0
130572,130572,triformiter,r,rp--------,,,,[t̪rɪ.'fɔr.mɪ.t̪ɛr],triformiter,0
130574,130574,trifurcum,n,n-s---nn2-,trifurc,,,[t̪rɪ.'fʊr.kũː],trifurcum,0
130528,t1209,trichordis,a,aps---cn3i,trichord trichord trichord,,,[t̪rɪ.'kʰɔr.d̪ɪs],trichordis,0
130581,130581,trigemini,n,n-p---mn2-,trigemin,,,[t̪rɪ.'gɛ.mɪ.n̪ɪ],trigemini,0
130584,130584,trigeni,a,app---mn1-,trigen trigen trigen,,,['t̪rɪ.gɛ.n̪ɪ],trigeni,0
130585,130585,trigeranus,n,n-s---mn2-,trigeran,,,[t̪rɪ.'gɛ.ra.n̪ʊs],trigeranus,0
130586,130586,trigesies,r,rp--------,,,,[t̪rɪ.'gɛ.sɪ̣.jɛs],trigesies,0
130529,t1210,trichorum,n,n-s---nn2-,trichor,,,['t̪rɪ.kʰɔ.rũː],trichorum,0
130530,t1210,trichorus,a,aps---mn1-,trichor trichor trichor,,,['t̪rɪ.kʰɔ.rʊs],trichorus,0
130531,t1211,trichrus,n,n-s---fn2-,trichr,,,['t̪rɪ.kʰrʊs],trichrus,0
130541,t1218,trico,n,n-s---mn3-,tricon,,,['t̪rɪ.kɔ],trico,0
130542,t1220,tricoccum,n,n-s---nn2-,tricocc,,,[t̪rɪ.'kɔk.kũː],tricoccum,0
130547,t1225,tricorniger,a,aps---mn1r,tricorniger tricorniger tricorniger,,,[t̪rɪ.'kɔr.n̪ɪ.gɛr],tricorniger,0
130548,t1226,tricornis,a,aps---cn3i,tricorn tricorn tricorn,,,[t̪rɪ.'kɔr.n̪ɪs],tricornis,0
130549,t1228,tricosus,a,aps---mn1-,tricos tricos tricos,,,['t̪rɪ.kɔ.sʊs],tricosus,0
130556,t1237,triennalis,a,aps---cn3i,triennal triennal triennal,,,[t̪rɪ̣.'jɛn̪.n̪a.lɪs],triennalis,0
