,d0826,deportatorius,a,0,aps---mn1-,deportatori deportatori deportatori,deportatorius
48823,48823,compactum,n,0,n-s---nn2-,compact,compactum
48819,a2131,antegerio,r,0,rp--------,,antegerio
48842,48842,coniptum,n,0,n-s---nn2-,conipt,coniptum
48828,48828,defensibiliter,r,0,rp--------,,defensibiliter
48879,48879,diptotum,n,0,n-s---nn2-,diptot,diptotum
48844,48844,disrumpo,v,0,v1spia--3-,disrump disrup disrupt,disrumpo
48855,48855,dotatus,a,0,aps---mn1-,dotat dotat dotat,dotatus
138436,u1330,utine,r,0,rp--------,	,utine
48875,48875,exuperabilis,a,0,aps---cn3-,exuperabil exuperabil exuperabil,exuperabilis
48882,48882,familialis,a,0,aps---cn3-,familial familial familial,familialis
48861,48861,hannapus,n,0,n-s---mn2-,hannap,hannapus
48841,c0580,captiuo,v,0,v1spia--1-,captiu captiuau captiuat,captiuo
48849,48849,homiliarium,n,0,n-s---nn2-,homiliari,homiliarium
48846,48846,inadsuetus,a,0,aps---mn1-,inadsuet inadsuet inadsuet,inadsuetus
48850,48850,inlaesus,a,0,aps---mn1-,inlaes inlaes inlaes,inlaesus
48886,48886,inrefragabiliter,r,0,rp--------,,inrefragabiliter
48817,48817,lubet,v,0,v1spia--2-,lub lubu lubit,lubet
48829,48829,musiuus,a,0,aps---mn1-,musiu musiu musiu,musiuus
48863,48863,naptha,n,0,n-s---fn1-,napth,naptha
48892,48892,roseus,n,0,n-s---mn2-,rose,roseus
48889,48889,sublime,r,0,rp--------,,sublime
48858,c0959,cauilla,n,0,n-s---fn1-,cauill,cauilla
48853,48853,temporiuus,a,0,aps---mn1-,temporiu temporiu temporiu,temporiuus
48830,c1584,cicer,n,0,n-s---nn3-,cicer,cicer
48868,c2462,collusor,n,0,n-s---mn3-,collusor,collusor
48831,48831,transadigo,n,0,n-s---fn2-,transadig transadeg transadact,transadigo
48883,48883,adclinis,a,0,aps---cn3-,adclin adclin adclin,adclinis
48835,c3384,congratulatio,n,0,n-s---fn3-,congratulation,congratulatio
48857,c3745,contignatio,n,0,n-s---fn3-,contignation,contignatio
48838,c4721,curso,v,0,v1spia--1-,curs cursau cursat,curso
48887,d1092,detersio,n,0,n-s---fn3-,detersion,detersio
48815,d1302,diaspermaton,n,0,n-s---nn2-,diaspermat,diaspermaton
48859,d2407,duumuiralitas,n,0,n-s---fn3-,duumuiralitat,duumuiralitas
48836,f0922,fragum,n,0,n-s---nn2-,frag,fragum
48840,h0042,haedinus,a,0,aps---mn1-,haedin haedin haedin,haedinus
48871,h0584,hortatus,n,0,n-s---mn4-,hortat hortat hortat,hortatus
48864,i1371,indusiatus,a,0,aps---mn1-,indusiat indusiat indusiat,indusiatus
48837,l0815,linteus,a,0,aps---mn1-,linte linte linte,linteus
48824,m0554,medimnum,n,0,n-s---nn2-,medimn,medimnum
48867,p0747,pelicanus,n,0,n-s---mn2-,pelican,pelicanus
48812,p1452,perpauper,a,0,aps---an3-,perpauper perpauper perpauper,perpauper
48834,p4687,proditio,n,0,n-s---fn3-,prodition,proditio
48860,r0114,raucisonus,a,0,aps---mn1-,r r r,raucisonus
48826,s3489,superator,n,0,n-s---mn3-,superator,superator
48848,t1239,triennium,n,0,n-s---nn2-,trienni,triennium
