,lamentatio,n,1,n-s---fn3-,lamentation,lamentatio
29073,29073,aecum,n,0,n-s---nn2-,aec,aecum
29087,29087,azanius,a,0,aps---mn1-,azani azani azani,azanius
29063,29063,clauicina,n,0,n-s---fn1-,clauicin,clauicina
29101,29101,concorporatus,a,0,aps---mn1-,concorporat concorporat concorporat,concorporatus
29123,29123,conprehensio,n,0,n-s---fn3-,conprehension,conprehensio
29086,29086,cosmogonia,n,0,n-s---fn1-,cosmogoni,cosmogonia
29116,29116,cuma,n,0,n-s---fn1-,cumat,cuma
29064,a0564,adhalo,v,0,v1spia--1-,adhal adhalau adhalat,adhalo
29084,29084,deuotrix,n,0,n-s---fn3-,deuotric,deuotrix
29122,29122,effectiue,r,0,rp--------,,effectiue
29112,29112,fortuitu,r,0,rp--------,,fortuitu
29125,29125,idolum,n,0,n-s---nn2-,idol,idolum
29124,29124,inretortus,a,0,aps---mn1-,inretort inretort inretort,inretortus
29071,29071,introsum,r,0,rp--------,,introsum
29105,29105,morbillus,n,0,n-s---mn2-,morbill,morbillus
29077,29077,murelegus,n,0,n-s---mn2-,mureleg,murelegus
29119,29119,necnon,r,0,rp--------,,necnon
29075,29075,onycha,n,0,n-s---fn1-,onych,onycha
29096,29096,sempiternaliter,r,0,rp--------,,sempiternaliter
29068,29068,seueriter,r,0,rp--------,adpromitt adpromis adpromiss,seueriter
29113,a1023,aestimium,n,0,n-s---nn2-,aestimi,aestimium
29108,29108,thermolagoena,n,0,n-s---fn1-,thermolagoen,thermolagoena
29080,29080,adfectato,r,0,rp--------,,adfectato
29066,u0099,uappa,n,0,n-s---fn1-,uapp,uappa
29099,a2337,apharce,n,0,n-s---fn1g,apharc,apharce
29060,a2689,arceuthinus,a,0,aps---mn1-,arceuthin arceuthin arceuthin,arceuthinus
29078,c0211,calculosus,a,0,aps---mn1-,calculos calculos calculos,calculosus
29114,c0978,cauma,n,0,n-s---nn3-,caumat,cauma
29118,c1334,chalceos,n,0,n-s---fn2g,chalce,chalceos
29128,c2226,coapostolus,n,0,n-s---mn2-,coapostol,coapostolus
29103,c2339,cohortatiuncula,n,0,n-s---fn1-,cohortatiuncul,cohortatiuncula
29121,c2804,compeccator,n,0,n-s---mn3-,compeccator,compeccator
29082,c4312,creper,a,0,aps---mn1r,creper creper creper,creper
29061,d0009,daduchus,n,0,n-s---mn2-,daduch,daduchus
29081,d8001,duplicarius,n,0,n-s---mn2-,duplicari,duplicarius
29069,e1666,expressio,n,0,n-s---fn3-,expression,expressio
29126,f0017,faba,n,0,n-s---fn1-,fab,faba
29088,f0104,faginus,a,0,aps---mn1-,fagin fagin fagin,faginus
29065,g2281,garritus,n,0,n-s---mn4-,garrit,garritus
29079,i0125,ignesco,v,0,v1spia--3-,ignisc - -,ignesco
29062,i0913,incisim,r,0,rp--------,,incisim
29093,i2989,iucundus,a,0,aps---mn1-,iucund iucund iucund,iucundus
29074,l0675,liber,a,0,aps---mn1r,liber liber liber,liber
29120,m0414,martyrium,n,0,n-s---nn2-,martyri,martyrium
29110,m1125,mitella,n,0,n-s---fn1-,mitell,mitella
29097,n0061,natatio,n,0,n-s---fn3-,natation,natatio
29090,p2135,pirata,n,0,n-s---mn1-,pirat,pirata
29117,r0698,rhypodes,a,0,aps---an3-,rhypod rhypod rhypod,rhypodes
29070,s1767,siparum,n,0,n-s---nn2-,sipar,siparum
29076,t0034,tabum,n,0,n-s---nn2-,tab,tabum
29181,m0209,malobathrum,n,0,n-s---nn2-,malobathr,malobathrum
29186,p3669,proconsul,n,0,n-s---mn3-,proconsul,proconsul
29135,29135,amethystos,n,0,n-s---fn2g,amethyst,amethystos
29188,29188,annuo,v,0,v1spia--3-,annu annu annut,annuo
29146,29146,apstruse,r,0,rp--------,,apstruse
29193,29193,rectifico,v,0,v1spia--1-,rectific rectificau rectificat,rectifico
29182,29182,baubatus,n,0,n-s---mn4-,baubat,baubatus
29169,29169,cerimonium,n,0,n-s---nn2-,cerimoni,cerimonium
29139,29139,cognitionaliter,r,0,rp--------,,cognitionaliter
29184,29184,comprehensibilitas,n,0,n-s---fn3-,comprehensibilitat,comprehensibilitas
29178,29178,conuulsus,a,0,aps---mn1-,conuuls conuuls conuuls,conuulsus
29129,29129,defendito,v,0,v1spia--1-,defendit defenditau defenditat,defendito
29150,29150,detenso,v,0,v1spia--1-,detens detensau detensat,detenso
29157,29157,difficiliter,r,0,rp--------,difficilius difficillime,difficiliter
29133,29133,felonia,n,0,n-s---fn1-,feloni,felonia
29144,29144,fictile,n,0,n-s---nn3i,fictil,fictile
29167,29167,hemisphaerion,n,0,n-s---nn2g,hemisphaeri,hemisphaerion
29159,29159,independentia,n,0,n-s---fn1-,independenti,independentia
29140,29140,inlago,v,0,v1spia--1-,inlag inlagau inlagat,inlago
29192,29192,inpensus,a,0,aps---mn1-,inpens inpens inpens,inpensus
29132,29132,irneacus,a,0,aps---mn1-,irneac irneac irneac,irneacus
29136,29136,laros,n,0,n-s---mn2g,lar,laros
29158,29158,lymphans,a,0,aps---an3-,lymphant lymphant lymphant,lymphans
29154,29154,mansionariatus,n,0,n-s---mn4-,mansionariat,mansionariatus
29171,a2124,antecurro,v,0,v1spia--3-,antecurr antecurr antecurs,antecurro
29180,29180,meliuscule,r,0,rp--------,,meliuscule
29175,29175,minimum,r,0,rp--------,nosocom,minimum
29197,29197,nuncio,v,0,v1spia--1-,nunci nunciau nunciat,nuncio
29187,29187,pinguido,n,0,n-s---fn3-,pinguidin,pinguido
29162,29162,Topazos,n,0,n-s---fn2g,Topaz,Topazos
29148,a3012,asbestinon,n,0,n-s---nn2g,asbestin,asbestinon
29179,29179,psychomotorius,a,0,aps---mn1-,psychomotori psychomotori psychomotori,psychomotorius
29149,29149,silaba,n,0,n-s---fn1-,silab,silaba
29173,29173,admonefacio,v,0,v1spia--3i,admonefac admonefec admonefact,admonefacio
29183,p2389,plus,a,0,aps---cn3-,plur plur plur,plus
29196,c0103,caelitus,r,0,rp--------,,caelitus
29142,c1446,chiramaxium,n,0,n-s---nn2-,chiramaxi,chiramaxium
29138,c1673,circen,n,0,n-s---nn3-,circin,circen
29195,c2986,concerno,v,0,v1spia--3-,concern concreu concret,concerno
29194,c3100,conculcatio,n,0,n-s---fn3-,conculcation,conculcatio
29143,c4830,cynops,n,0,n-s---fn3-,cynop,cynops
29145,l0260,lapidesco,v,0,v1spia--3-,lapidesc - -,lapidesco
29134,l1243,lutito,v,0,v1spia--1-,lutit lutitau lutitat,lutito
29174,n0536,nosocomus,n,0,n-s---mn2-,nosocom,nosocomus
29153,p0557,pathicus,a,0,aps---mn1-,pathic pathic pathic,pathicus
29161,p0578,patricius,n,0,n-s---mn2-,patrici,patricius
29176,p1671,pertimesco,v,0,v1spia--3-,pertimesc pertimu -,pertimesco
29168,p3483,prauicordius,a,0,aps---mn1-,prauicordi prauicordi prauicordi,prauicordius
29166,r0447,replum,n,0,n-s---nn2-,repl,replum
29165,s2297,spumiger,a,0,aps---mn1r,spumiger spumiger spumiger,spumiger
29189,t1240,triens,n,0,n-s---mn3-,trient,triens
29177,u0614,uictor,n,0,n-s---mn3-,uictor,uictor
29131,u1044,undeni,a,0,app---mn1-,unden unden unden,undeni
29156,a0621,adiunctiuus,a,0,aps---mn1-,adiunctiu adiunctiu adiunctiu,adiunctiuus
29253,29253,brauium,n,0,n-s---nn2-,braui,brauium
29203,29203,baccalaureatus,n,0,n-s---mn4-,baccalaureat,baccalaureatus
29258,29258,battalia,n,0,n-p---nn2-,battali,battalia
29225,29225,baxa,n,0,n-s---fn1-,bax,baxa
29202,29202,bifidatus,a,0,aps---mn1-,bifidat bifidat bifidat,bifidatus
29199,29199,boxum,n,0,n-s---nn2-,box,boxum
29213,29213,brunneus,a,0,aps---mn1-,brunne brunne brunne,brunneus
29201,29201,acrufolius,a,0,aps---mn1-,acrufoli acrufoli acrufoli,acrufolius
29206,29206,canonissa,n,0,n-s---fn1-,canoniss,canonissa
29230,29230,ceroferarium,n,0,n-s---nn2-,ceroferari,ceroferarium
29262,29262,citate,r,0,rp--------,citatius citatissime,citate
29240,29240,deiicio,v,0,v1spia--3i,deiic deiec deiect,deiicio
29200,a2253,alcyoneum,n,0,n-s---nn2-,alcyone,alcyoneum
29255,29255,fedus,n,0,n-s---mn2-,fed,fedus
29218,29218,incondite,r,0,rp--------,missici,incondite
29252,29252,indutio,v,0,v1spia--1-,induti indutiau indutiat,indutio
29210,29210,ineleganter,r,0,rp--------,tristimoni,ineleganter
29219,a1630,ambiuium,n,0,n-s---nn2-,ambiui,ambiuium
29247,29247,insillo,v,0,v1spia--1-,insill insillu -,insillo
29208,29208,morans,a,0,aps---an3i,morant morant morant,morans
29250,a1634,amburbale,n,0,n-s---nn3i,amburbal,amburbale
29233,29233,pistaceus,a,0,aps---mn1-,pistace pistace pistace,pistaceus
29237,29237,quernus,a,0,aps---mn1-,quern quern quern,quernus
123077,123077,praetentatus,a,0,aps---mn1-,praetentat praetentat praetentat,praetentatus
29234,29234,spathula,n,0,n-s---fn1-,spathul,spathula
29214,29214,synagoge,n,0,n-s---nn3-,synagog,synagoge
133265,u0947,ultra,p,0,p---------,-,ultra
29216,29216,Annius,n,0,n-s---mn2-,Anni,Annius
29251,u1390,uuor,n,0,n-s---mn3-,uuor,uuor
29246,a2931,arrotans,a,0,aps---an3i,arrotant arrotant arrotant,arrotans
29221,b0376,bilustris,a,0,aps---cn3i,bilustr bilustr bilustr,bilustris
29257,b0800,brattiarius,n,0,n-s---mn2-,brattiari,brattiarius
29254,b0725,bulima,n,0,n-s---fn1-,bulim,bulima
29224,c4464,crustarius,n,0,n-s---mn2-,crustari,crustarius
29249,c4508,cucumella,n,0,n-s---fn1-,cucumell,cucumella
29231,c4725,cursualis,a,0,aps---cn3i,cursual cursual cursual,cursualis
29204,d0540,deliberatio,n,0,n-s---fn3-,deliberation,deliberatio
29238,d0733,denudator,n,0,n-s---mn3-,denudator,denudator
29211,d0977,desilio,v,0,v1spia--4-,desil desulu desult,desilio
29261,d1916,dissitus,a,0,aps---mn1-,dissit dissit dissit,dissitus
29260,e1227,exanimatio,n,0,n-s---fn3-,exanimation,exanimatio
29205,g0007,grypus,n,0,n-s---mn2-,gryp,grypus
29220,i1430,inermus,a,0,aps---mn1-,inerm inerm inerm,inermus
29212,i9913,iussus,n,0,n-s---mn4-,iuss,iussus
29223,p0983,percrebresco,v,0,v1spia--3-,percrebresc percrebru -,percrebresco
29256,p0993,percuriosus,a,0,aps---mn1-,percurios percurios percurios,percuriosus
29248,p9867,planus,n,0,n-s---mn2-,plan,planus
29232,p3854,prolubium,n,0,n-s---nn2-,prolubi,prolubium
29259,s0460,satyrus,n,0,n-s---mn2-,satyr,satyrus
29226,s0662,sollemne,n,0,n-s---nn3i,sollemn,sollemne
29236,s2006,sorbum,n,0,n-s---nn2-,sorb,sorbum
29263,t9318,tonsilla,n,0,n-s---fn1-,tonsill,tonsilla
29209,t1385,tristimonia,n,0,n-s---fn1-,tristimoni,tristimonia
29235,u0530,ueteresco,v,0,v1spia--3-,ueteresc - -,ueteresco
29229,a1319,alcyon,n,0,n-s---fn3-,alcyon,alcyon
29318,29318,antipendium,n,0,n-s---nn2-,antipendi,antipendium
29313,29313,artificiale,n,0,n-s---nn3-,artificial,artificiale
29291,29291,autochton,a,0,aps---an3-,innutr innutr innutr,autochton
29268,29268,captiose,r,0,rp--------,,captiose
29293,29293,chalcaspis,a,0,aps---an3-,chalcaspidi chalcaspidi chalcaspidi,chalcaspis
29284,29284,citiuolus,a,0,aps---mn1-,citiuol citiuol citiuol,citiuolus
29279,29279,conmercium,n,0,n-s---nn2-,conmerci,conmercium
29320,29320,contumeliose,r,0,rp--------,contumeli,contumeliose
29312,29312,decurtatus,a,0,aps---mn1-,decurtat decurtat decurtat,decurtatus
29264,29264,diminutio,n,0,n-s---fn3-,diminution,diminutio
29305,29305,forisfacio,v,0,v1spia--3-,forisfac forisfec forisfact,forisfacio
29265,a1805,amycticus,a,0,aps---mn1-,amyctic amyctic amyctic,amycticus
29306,29306,hydoneus,a,0,aps---mn1-,hydone hydone hydone,hydoneus
29288,29288,hyperbolice,r,0,rp--------,,hyperbolice
29322,29322,inmundus,a,0,aps---mn1-,inmund inmund inmund,inmundus
123112,123112,praetoria,n,0,n-s---fn1-,praetori,praetoria
29303,29303,minanter,r,0,rp--------,min,minanter
29317,29317,quinymo,r,0,rp--------,,quinymo
29310,29310,seculis,a,0,aps---cn3-,secul secul secul,seculis
29281,29281,socialia,a,0,aps---an--,social social social,socialia
29325,29325,surrubicundus,a,0,aps---mn1-,surrubicund surrubicund surrubicund,surrubicundus
29324,29324,wadiarius,n,0,n-s---mn2-,wadiari,wadiarius
29309,d1262,dialepidos,n,0,n-s---n---,-,dialepidos
29269,29269,ammodo,r,0,rp--------,,ammodo
29314,29314,acephalos,a,0,aps----n3-,acephal acephal acephal,acephalos
29321,a3347,atterraneus,a,0,aps---mn1-,atterrane atterrane atterrane,atterraneus
29285,a3359,attilus,n,0,n-s---mn2-,attil,attilus
29287,a2035,aureolus,a,0,aps---mn1-,aureol aureol aureol,aureolus
29286,b0201,beatificatio,n,0,n-s---fn3-,beatification,beatificatio
29323,b0422,biselliatus,n,0,n-s---mn4-,biselliat,biselliatus
29300,c0017,cacaturio,v,0,v1spia--4-,cacatur cacaturiu cacaturit,cacaturio
29294,c0362,canaliensis,a,0,aps---cn3i,canaliens canaliens canaliens,canaliensis
29328,c1432,chernitis,n,0,n-s---fn3-,chernitid,chernitis
29301,c1569,cibarium,n,0,n-s---nn2-,cibari,cibarium
29280,c2492,colonarius,a,0,aps---mn1-,colonari colonari colonari,colonarius
29272,c3272,conflator,n,0,n-s---mn3-,conflator,conflator
29267,c3445,conopium,n,0,n-s---nn2-,conopi,conopium
29331,c4461,crusma,n,0,n-s---nn3-,crusmat,crusma
29308,c4568,cultello,v,0,v1spia--1-,cultell - cultellat,cultello
29315,d0386,deflo,v,0,v1spia--1-,defl deflau deflat,deflo
29275,e0179,effrons,a,0,aps---an3i,effront effront effront,effrons
29278,g0148,gemmarius,n,0,n-s---mn2-,gemmari,gemmarius
29282,i0400,immolatio,n,0,n-s---fn3-,immolation,immolatio
29290,i1854,innutrio,v,0,v1spia--4-,innutr innutriu innutrit,innutrio
29276,m0440,masturbator,n,0,n-s---mn3-,masturbator,masturbator
29297,m1694,multigenus,a,0,aps---mn1-,multigen multigen multigen,multigenus
29302,n0080,nauclerus,n,0,n-s---mn2-,naucler,nauclerus
29270,p0970,percommodus,a,0,aps---mn1-,percommod percommod percommod,percommodus
29289,p1737,peruideo,v,0,v1spia--2-,peruid peruid peruis,peruideo
29273,p2373,plumbeus,a,0,aps---mn1-,plumbe plumbe plumbe,plumbeus
29319,u0030,uagabundus,a,0,aps---mn1-,uagabund uagabund uagabund,uagabundus
29283,u0652,uigoro,v,0,v1spia--1-,uigor uigorau uigorat,uigoro
29384,29384,aliquo,r,0,rp--------,,aliquo
29358,29358,assimiliter,r,0,rp--------,,assimiliter
29353,29353,auctorizo,v,0,v1spia--1-,auctoriz auctorizau auctorizat,auctorizo
29349,29349,baxearius,n,0,n-s---mn2-,baxeari,baxearius
29390,29390,cantatorium,n,0,n-s---nn2-,cantatori,cantatorium
29363,29363,cubans,a,0,aps---an3i,cubant cubant cubant,cubans
29391,29391,disyllabum,n,0,n-s---nn2-,disyllab,disyllabum
29376,a2514,apporrectus,a,0,aps---mn1-,apporrect apporrect apporrect,apporrectus
29335,a2932,arrugia,n,0,n-s---fn1-,arrugi,arrugia
29348,29348,fundaitor,n,0,n-s---mn3-,fundaitor,fundaitor
29356,29356,idonee,r,0,rp--------,idone idone idone,idonee
29381,a3413,auctito,v,0,v1spia--1-,auctit auctitau auctitat,auctito
29389,29389,ignigena,a,0,aps---cn1-,ignigen ignigen ignigen,ignigena
29359,29359,incumbramentum,n,0,n-s---nn2-,incumbrament,incumbramentum
29360,29360,inpeditus,n,0,n-s---mn4-,inpedit,inpeditus
29374,29374,insupo,v,0,v1spia--1-,insup insupau insupa,insupo
29337,29337,lucinaria,n,0,n-s---fn1-,lucinari,lucinaria
29399,29399,maniacus,a,0,aps---mn1-,maniac maniac maniac,maniacus
29357,29357,memorandum,n,0,n-s---nn2-,memorand,memorandum
29393,29393,nummisma,n,0,n-s---nn3-,nummismat,nummisma
29361,29361,ophthalmologus,n,0,n-s---mn2-,ophthalmolog,ophthalmologus
29343,29343,opinitas,n,0,n-s---fn3-,opinitat,opinitas
29385,29385,parabula,n,0,n-s---fn1-,parabul,parabula
29380,c1073,cellarius,a,0,aps---mn1-,cellari cellari cellari,cellarius
29378,29378,perfecte,r,0,rp--------,triglyph,perfecte
29382,29382,porphirio,n,0,n-s---fn3-,porphirion,porphirio
29386,29386,seisitus,a,0,aps---mn1-,seisit seisit seisit,seisitus
29379,c3068,concorporatio,n,0,n-s---fn3-,concorporation,concorporatio
29369,29369,uiuisco,v,0,v1spia--3-,uiuisc - -,uiuisco
29371,29371,adesus,a,0,aps---mn1-,ades ades ades,adesus
29392,c9887,concubitus,n,0,n-s---mn4-,concubit,concubitus
29398,c3409,coniectator,n,0,n-s---mn3-,coniectator,coniectator
29333,c3746,contigno,v,0,v1spia--1-,contign - contignat,contigno
29388,c4236,crapulatio,n,0,n-s---fn3-,crapulation,crapulatio
29355,c4400,crocodileon,n,0,n-s---nn2g,crocodile,crocodileon
29396,c4463,crustum,n,0,n-s---nn2-,crust,crustum
29341,d0229,decolo,v,0,v1spia--1-,decol decolau decolat,decolo
29354,e1225,exanimalis,a,0,aps---cn3i,exanimal exanimal exanimal,exanimalis
29336,i1134,incudo,v,0,v1spia--3-,incud incud incus,incudo
29351,i1279,indigentia,n,0,n-s---fn1-,indigenti,indigentia
29395,l0926,litterator,n,0,n-s---mn3-,litterator,litterator
29366,m0137,maiestas,n,0,n-s---fn3-,maiestat,maiestas
29344,m1690,multiuolus,a,0,aps---mn1-,multiuol multiuol multiuol,multiuolus
29352,p0613,pauimentatus,a,0,aps---mn1-,pauimentat pauimentat pauimentat,pauimentatus
29340,p1744,peruilis,a,0,aps---cn3i,peruil peruil peruil,peruilis
29345,p1821,petrosus,a,0,aps---mn1-,petros petros petros,petrosus
29394,p2797,praebia,n,0,n-p---nn2-,praebi,praebia
29372,q0297,quoad,r,0,rp--------,,quoad
29350,r0465,repressor,n,0,n-s---mn3-,repressor,repressor
29365,r1476,roto,v,0,v1spia--1-,rot rotau rotat,roto
29342,t0072,talla,n,0,n-s---fn1-,tall,talla
29377,t1277,triglyphus,n,0,n-s---mn2-,triglyph,triglyphus
29362,t1756,turbamentum,n,0,n-s---nn2-,turbament,turbamentum
29387,a0646,admeo,v,0,v1spia--1-,adme admeau admea,admeo
29419,29419,aduorsator,n,0,n-s---mn3-,aduorsator,aduorsator
29434,29434,aegrotare,a,0,aps---an3-,aegrot aegrot aegrot,aegrotare
29408,29408,bladum,n,0,n-s---nn2-,blad,bladum
29463,29463,clabula,n,0,n-s---fn1-,clabul,clabula
29425,29425,conscia,n,0,n-s---fn1-,consci,conscia
29413,29413,designate,r,0,rp--------,,designate
29456,29456,dolose,r,0,rp--------,dolos,dolose
29457,29457,extremum,r,0,rp--------,dol,extremum
29432,29432,fauorabiliter,r,0,rp--------,fauorabilius fauorabilissime,fauorabiliter
29402,29402,grammatice,r,0,rp--------,,grammatice
29400,29400,grandiloquus,n,0,aps---mn2-,grandiloqu grandiloqu grandiloqu,grandiloquus
29420,29420,illegitimus,n,0,n-s---mn2-,illegitim,illegitimus
29461,29461,inciuiliter,r,0,rp--------,,inciuiliter
29436,29436,ironice,r,0,rp--------,,ironice
29412,29412,macti,a,0,aps---an--,macti macti macti,macti
29428,29428,modificatus,a,0,aps---mn1-,modificat modificat modificat,modificatus
29416,29416,musaeus,a,0,aps---mn1-,musae musae musae,musaeus
29410,29410,nuga,n,0,n-s---fn1-,nug,nuga
29424,29424,opscenitas,n,0,n-s---fn3-,opscenitat,opscenitas
29462,29462,pluraliter,r,0,rp--------,,pluraliter
29429,29429,praelum,n,0,n-s---nn2-,prael,praelum
29458,29458,promontorium,n,0,n-s---nn2-,promontori,promontorium
29409,a0385,acinus,n,0,n-s---mn2-,acin,acinus
29401,29401,reuerendus,a,0,aps---mn1-,reuerend reuerend reuerend,reuerendus
29442,29442,rogatorialis,a,0,aps---cn3-,rogatorial rogatorial rogatorial,rogatorialis
29439,29439,trafero,v,0,v1spia--3-,trafer tratul tralat,trafero
123240,123240,primogenita,n,0,n-p---nn2-,primogenit,primogenita
29407,29407,acysterium,n,0,n-s---nn2-,acysteri,acysterium
29454,s9942,sponsus,n,1,n-s---mn2-,spons,sponsus
29464,a1962,aneticus,a,0,aps---mn1-,anetic anetic anetic,aneticus
29440,a2638,araneosus,a,0,aps---mn1-,araneos araneos araneos,araneosus
29448,a2716,archimimus,n,0,n-s---mn2-,archimim,archimimus
29405,c0199,calcifraga,n,0,n-s---fn1-,calcifrag,calcifraga
29417,c0244,caliptra,n,0,n-s---fn1-,caliptr,caliptra
29403,c0400,canesco,v,0,v1spia--3-,canesc - -,canesco
29437,c2075,claustrarius,n,0,n-s---mn2-,claustrari,claustrarius
29415,c3157,condictor,n,0,n-s---mn3-,condictor,condictor
29460,c3397,congressor,n,0,n-s---mn3-,congressor,congressor
29422,c3961,copiarius,n,0,n-s---mn2-,copiari,copiarius
29438,c4073,coronarius,a,0,aps---mn1-,coronari coronari coronari,coronarius
29459,c4342,cretula,n,0,n-s---fn1-,cretul,cretula
29451,c1351,crystallinus,a,0,aps---mn1-,crystallin crystallin crystallin,crystallinus
29445,g0585,grauedinosus,a,0,aps---mn1-,grauedinos grauedinos grauedinos,grauedinosus
29450,i1010,inconcinnus,a,0,aps---mn1-,inconcinn inconcinn inconcinn,inconcinnus
29414,i1553,inferuesco,v,0,v1spia--3-,inferuesc inferbu -,inferuesco
29449,m0317,mansuesco,v,0,v1spia--3-,mansuesc mansueu mansuet,mansuesco
29430,m0453,materiarius,n,0,n-s---mn2-,materiari,materiarius
29411,n0763,neutrubi,r,0,rp--------,,neutrubi
29453,o0283,obstructio,n,0,n-s---fn3-,obstruction,obstructio
29426,s0073,saecularis,a,0,aps---cn3i,saecular saecular saecular,saecularis
29452,s1457,sesquihora,n,0,n-s---fn1-,sesquihor,sesquihora
29427,s1672,siluosus,a,0,aps---mn1-,siluos siluos siluos,siluosus
29443,s2285,sportula,n,0,n-s---fn1-,sportul,sportula
29406,s2960,subluuies,n,0,n-s---fn5-,subluui,subluuies
29517,a0365,acharna,n,0,n-s---fn1-,acharn,acharna
29476,29476,conmoneo,v,0,v1spia--2-,conmon conmonu conmonit,conmoneo
29508,g0528,grandaeuus,a,0,aps---mn1-,grandaeu grandaeu grandaeu,grandaeuus
29484,29484,achantum,n,0,n-s---nn2-,achant,achantum
29505,29505,apopompaeus,n,0,n-s---mn2-,apopompae,apopompaeus
29528,29528,autumnesct,v,0,v1spia--3-,autumnesc - -,autumnesct
29480,29480,breuiale,n,0,n-s---nn3-,breuial,breuiale
29504,29504,cercyrus,n,0,n-s---mn2-,cercyr,cercyrus
29473,29473,coassatio,n,0,n-s---fn3-,coassation,coassatio
29519,29519,concubinarius,n,0,n-s---mn2-,concubinari,concubinarius
29515,29515,conectiue,r,0,rp--------,,conectiue
29485,29485,contheroleta,n,0,n-s---mn1-,contherolet,contheroleta
29518,29518,deorsus,r,0,rp--------,,deorsus
29467,29467,diacisson,n,0,n-s---nn2-,diaciss,diacisson
29495,29495,dietim,r,0,rp--------,,dietim
29524,29524,hospitaliter,r,0,rp--------,,hospitaliter
29507,29507,incumberamentum,n,0,n-s---nn2-,incumberament,incumberamentum
29509,29509,inductus,a,0,aps---mn1-,induct induct induct,inductus
29490,29490,iubilaeus,n,0,n-s---mn2-,iubilae,iubilaeus
29472,29472,legislatiuus,a,0,aps---mn1-,legislatiu legislatiu legislatiu,legislatiuus
29516,29516,minus,r,0,rp--------,,minus
29470,29470,mulctaticus,a,0,aps---mn1-,mulctatic mulctatic mulctatic,mulctaticus
29497,29497,myoparon,n,0,n-s---nn2-,myoparon,myoparon
123297,123297,problematica,n,0,n-p---nn2-,problematic,problematica
123300,123300,probrose,r,0,rp--------,,probrose
29530,a2898,aromaticum,n,0,n-s---nn2-,aromatic,aromaticum
29503,29503,patinator,n,0,n-s---mn3-,patinator,patinator
29498,29498,prothesis,n,0,n-s---fn3i,prothes,prothesis
29469,29469,quoius,a,0,aps---mn1-,quoi quoi quoi,quoius
29486,29486,quotidianus,a,0,aps---mn1-,quotidian quotidian quotidian,quotidianus
29479,a2976,artopticius,a,0,aps---mn1-,artoptici artoptici artoptici,artopticius
29475,a3229,asterno,v,0,v1spia--3-,astern astrau astrat,asterno
29478,29478,ringa,n,0,n-s---fn1-,ring,ringa
29501,29501,spiritalitas,n,0,n-s---fn3-,spiritalitat,spiritalitas
29502,29502,splendidus,n,0,aps---mn2-,splendid splendid splendid,splendidus
29487,29487,sugitorium,n,0,n-s---nn2-,sugitori,sugitorium
29482,29482,adstipulo,v,0,v1spia--1-,adstipul adstipulau adstipula,adstipulo
29488,b0635,brisa,n,0,n-s---fn1-,bris,brisa
29489,c0436,cantabilis,a,0,aps---cn3i,cantabil cantabil cantabil,cantabilis
29494,c0750,cassidarius,n,0,n-s---mn2-,cassidari,cassidarius
29512,c0850,catascopium,n,0,n-s---nn2-,catascopi,catascopium
29492,c1308,cestrotus,a,1,aps---mn1-,cestrot cestrot cestrot,cestrotus
29491,c1598,cicur,a,0,aps---an3-,cicur cicur cicur,cicur
29522,c2989,concertatiuus,a,0,aps---mn1-,concertatiu concertatiu concertatiu,concertatiuus
29525,c4089,corpulentia,n,0,n-s---fn1-,corpulenti,corpulentia
29500,c4362,crinon,n,0,n-s---nn2g,crin,crinon
29514,i3071,iurandum,n,0,n-s---nn2-,iurand,iurandum
29499,m0034,macia,n,0,n-s---fn1-,maci,macia
29474,m0740,mensor,n,0,n-s---mn3-,mensor,mensor
29506,m1912,myropola,n,0,n-s---mn1-,myropol,myropola
29466,p0992,percupio,v,0,v1spia--3i,percup - -,percupio
29523,p2905,praedatio,n,0,n-s---fn3-,praedation,praedatio
29493,s0615,schematismus,n,0,n-s---mn2-,schematism,schematismus
29520,s3930,symphonia,n,0,n-s---fn1-,symphoni,symphonia
29578,29578,coelifer,a,0,aps---mn1r,coelifer coelifer coelifer,coelifer
29577,r0689,rhombus,n,0,n-s---mn2-,rhomb,rhombus
19513,19513,adtitulo,v,1,v1spia--1-,adtitul adtitulau adtitulat,adtitulo
29573,29573,aphya,n,0,n-s---fn1-,aphy,aphya
29591,29591,bursula,n,0,n-s---fn1-,bursul,bursula
29562,29562,clidium,n,0,n-s---nn2-,clidi,clidium
29589,29589,colorate,r,0,rp--------,,colorate
29593,29593,confractus,a,0,aps---mn1-,confract confract confract,confractus
29586,29586,conresupinatus,a,0,aps---mn1-,conresupinat conresupinat conresupinat,conresupinatus
29543,29543,consecratorius,a,0,aps---mn1-,consecratori consecratori consecratori,consecratorius
29542,29542,coris,n,0,n-s---fn3-,corid,coris
29576,29576,cotaria,n,0,n-s---fn1-,cotari,cotaria
29535,29535,cuneiformis,a,0,aps---cn3-,cuneiform cuneiform cuneiform,cuneiformis
29553,29553,diesis,n,0,n-s---fn3i,dies,diesis
29567,29567,elleborus,n,0,n-s---mn2-,ellebor,elleborus
29546,29546,galanthus,n,0,n-s---mn2-,galanth,galanthus
29592,29592,inidoneitas,n,0,n-s---fn3-,inidoneitat,inidoneitas
29585,29585,inpudens,a,0,aps---an3-,inpudent inpudent inpudent,inpudens
29569,29569,inurbane,r,0,rp--------,argemoni,inurbane
29538,29538,iodium,n,0,n-s---nn2-,iodi,iodium
