991,submutatio,n,0,n-s---fn3-,submutation,submutatio
130565,t1252,trifer,a,0,aps---mn1r,trifer trifer trifer,trifer
130567,t1254,trifilis,a,0,aps---cn3i,trifil trifil trifil,trifilis
130568,t1255,trifinium,n,0,n-s---nn2-,trifini,trifinium
130569,t1255,trifinius,a,0,aps---mn1-,trifini trifini trifini,trifinius
130571,t1259,triformitas,n,0,n-s---fn3-,triformitat,triformitas
130573,t1262,trifurcium,n,0,n-s---nn2-,trifurci,trifurcium
130575,t1263,trifurcus,a,0,aps---mn1-,trifurc trifurc trifurc,trifurcus
130576,t8264,trigamia,n,0,n-s---fn1-,trigami,trigamia
130577,t1265,trigamus,n,0,n-s---mn2-,trigam,trigamus
130578,t1266,trigaranus,n,0,n-s---mn2-,trigaran,trigaranus
130579,t1267,trigarius,a,0,aps---mn1-,trigari trigari trigari,trigarius
130580,t1267,trigarius,n,0,n-s---mn2-,trigari,trigarius
130583,t1270,trigemmis,a,0,aps---cn3i,trigemm trigemm trigemm,trigemmis
43418,i1566,infidus,a,0,aps---mn1-,infid infid infid,infidus
107553,d1311,diatessaron,n,0,n-s---n---,-,diatessaron
130594,130594,trihemitonium,n,0,n-s---nn2-,trihemitoni,trihemitonium
130605,130605,trimenstruus,a,0,aps---mn1-,trimenstru trimenstru trimenstru,trimenstruus
130606,130606,trimestre,n,0,n-s---nn3i,trimestr,trimestre
130607,130607,trimestria,n,0,n-p---nn3i,trimestr,trimestria
130608,130608,trimetrius,a,0,aps---mn1-,trimetri trimetri trimetri,trimetrius
130609,130609,trimetros,n,0,n-s---mn2g,trimetr,trimetros
130612,130612,trinalis,a,0,aps---cn3i,trinal trinal trinal,trinalis
130614,130614,trini,a,0,app---mn1-,trin trin trin,trini
130617,130617,trinomimis,a,0,aps---cn3i,trinomim trinomim trinomim,trinomimis
130620,130620,trinso,v,0,v1spia--1-,trins trinsau trinsa,trinso
130621,130621,trinundinum,n,0,n-s---nn2-,trinundin,trinundinum
130624,130624,triobolos,n,0,n-s---mn2g,triobol,triobolos
130627,130627,triophthalmus,n,0,n-s---mn2-,triophthalm,triophthalmus
130632,130632,tripartitio,n,0,n-s---fn3-,tripartition,tripartitio
130633,130633,tripartito,r,0,rp--------,,tripartito
130637,130637,tripatinum,n,0,n-s---nn2-,tripatin,tripatinum
130641,130641,tripes,n,0,n-s---mn3-,triped,tripes
130642,130642,tripetia,n,0,n-s---fn1-,tripeti,tripetia
130645,130645,triplarius,n,0,n-s---mn2-,triplari,triplarius
130647,130647,triplex,n,0,n-s---nn3-,triplic,triplex
130711,130711,triuir,n,0,n-s---mn2r,triuir,triuir
130623,,trio,n,0,n-s---mn3-,trion,trio
130592,t1282,trigonius,a,0,aps---mn1-,trigoni trigoni trigoni,trigonius
130595,t1285,trihorium,n,0,n-s---nn2-,trihori,trihorium
130596,t1286,triiugis,a,0,aps---cn3i,triiug triiug triiug,triiugis
130597,t1286,triiugus,a,0,aps---mn1-,triiug triiug triiug,triiugus
130598,t1287,trilaterus,a,0,aps---mn1-,trilater trilater trilater,trilaterus
130599,t1292,trilongus,a,0,aps---mn1-,trilong trilong trilong,trilongus
130600,t1293,triloris,a,0,aps---cn3i,trilor trilor trilor,triloris
130602,t1295,trimatus,n,0,n-s---mn4-,trimat,trimatus
130603,t1297,trimenium,n,0,n-s---nn2-,trimeni,trimenium
130604,t1298,trimensis,a,0,aps---cn3i,trimens trimens trimens,trimensis
130610,t1301,trimodium,n,0,n-s---nn2-,trimodi,trimodium
130611,t1303,trimulus,a,0,aps---mn1-,trimul trimul trimul,trimulus
130613,t1308,trineptis,n,0,n-s---fn3i,trinept,trineptis
130615,t1310,trinio,n,0,n-s---mn3-,trinion,trinio
130616,t1312,trinnio,v,0,v1spia--4-,trinn trinniu trinnit,trinnio
130619,t1317,trinomius,a,0,aps---mn1-,trinomi trinomi trinomi,trinomius
130622,t1319,trinundinus,a,0,aps---mn1-,trinundin trinundin trinundin,trinundinus
130625,t1324,trionymus,a,0,aps---mn1-,trionym trionym trionym,trionymus
130626,t1325,triophthalmos,n,0,n-s---mn2g,triophthalm,triophthalmos
130628,t1326,triorches,n,0,n-s---mn1g,triorch,triorches
130629,t1326,triorchis,n,0,n-s---fn3i,triorch,triorchis
130630,t1327,tripalis,a,0,aps---cn3i,tripal tripal tripal,tripalis
130631,t1328,triparcus,a,0,aps---mn1-,triparc triparc triparc,triparcus
130634,t1329,tripatens,a,0,aps---an3i,tripatent tripatent tripatent,tripatens
130635,t1330,tripatina,n,0,n-s---fn1-,tripatin,tripatina
130638,t1332,tripeccia,n,0,n-s---fn1-,tripecci,tripeccia
130639,t1334,tripedalis,a,0,aps---cn3i,tripedal tripedal tripedal,tripedalis
130640,t1336,tripertitio,n,0,n-s---fn3-,tripertition,tripertitio
130644,t1342,triplaris,a,0,aps---cn3i,triplar triplar triplar,triplaris
130646,t1343,triplasius,a,0,aps---mn1-,triplasi triplasi triplasi,triplasius
114149,i1576,infinibilis,a,0,aps---cn3i,infinibil infinibil infinibil,infinibilis
107628,d1412,diffulmino,v,0,v1spia--1-,diffulmin diffulminau diffulmina,diffulmino
130701,t1405,tritomum,n,0,n-s---nn2-,tritom,tritomum
130651,130651,triplicatus,a,0,aps---mn1-,triplicat triplicat triplicat,triplicatus
130652,130652,triplices,n,0,n-p---mn3i,triplic,triplices
130655,130655,triplo,r,0,rp--------,,triplo
130658,130658,tripodes,n,0,n-s---mn3-,tripod,tripodes
130659,130659,tripodius,a,0,aps---mn1-,tripodi tripodi tripodi,tripodius
130663,130663,tripolium,n,0,n-s---nn2-,tripoli,tripolium
130664,130664,tripondis,a,0,aps---cn3i,tripond tripond tripond,tripondis
130668,130668,tripsaca,n,0,n-s---fn1-,tripsac,tripsaca
130670,130670,triptota,n,0,n-p---nn2-,triptot,triptota
130672,130672,tripudiatio,n,0,n-s---fn3-,tripudiation,tripudiatio
130673,130673,triquetrum,n,0,n-s---nn2-,triquetr,triquetrum
130678,130678,triscurium,n,0,n-s---nn2-,triscuri,triscurium
130679,130679,triscurria,n,0,n-p---nn2-,triscurri,triscurria
130683,130683,trispastos,n,0,n-s---fn2g,trispast,trispastos
130685,130685,trissago,n,0,n-s---fn3-,trissagin,trissago
130691,130691,trisulcis,a,0,aps---cn3i,trisulc trisulc trisulc,trisulcis
130697,130697,triticarius,n,0,n-s---mn2-,triticari,triticarius
130700,130700,tritilis,a,0,aps---cn3i,tritil tritil tritil,tritilis
130702,130702,tritonis,n,0,n-s---fn3-,tritonid,tritonis
130708,130708,triuerbero,n,0,n-s---mn3-,triuerberon,triuerbero
130665,130665,Tripontium,n,0,n-s---nn2-,Triponti,Tripontium
130653,t1350,triplinthius,a,0,aps---mn1-,triplinthi triplinthi triplinthi,triplinthius
130654,t1351,triplo,v,0,v1spia--1-,tripl triplau triplat,triplo
130656,t1352,triplus,a,0,aps---mn1-,tripl tripl tripl,triplus
130657,t1353,tripodatio,n,0,n-s---fn3-,tripodation,tripodatio
130661,t1355,tripodum,n,0,n-s---nn2-,tripod,tripodum
130662,t1356,tripolion,n,0,n-s---nn2g,tripoli,tripolion
130666,t1357,triportentum,n,0,n-s---nn2-,triportent,triportentum
130667,t1358,tripotens,a,0,aps---an3i,tripotent tripotent tripotent,tripotens
130669,t1359,tripticus,a,0,aps---mn1-,triptic triptic triptic,tripticus
130674,t1367,trirhythmus,a,0,aps---mn1-,trirhythm trirhythm trirhythm,trirhythmus
130675,t1369,triscelum,n,0,n-s---nn2-,triscel,triscelum
130680,t1374,trisemus,a,0,aps---mn1-,trisem trisem trisem,trisemus
130681,t1375,trisextium,n,0,n-s---nn2-,trisexti,trisextium
130682,t1376,trisomum,n,0,n-s---nn2-,trisom,trisomum
130684,t1378,trispithamus,a,0,aps---mn1-,trispitham trispitham trispitham,trispithamus
130686,t1379,trissito,v,0,v1spia--1-,trissit trissitau trissita,trissito
130687,t1380,trisso,v,0,v1spia--1-,triss trissau trissa,trisso
130688,t1382,tristega,n,0,n-p---nn2-,tristeg,tristega
130689,t1387,tristitas,n,0,n-s---fn3-,tristitat,tristitas
130694,t8395,trite,n,0,n-s---fn1g,trit,trite
130695,t1396,tritemoria,n,0,n-s---fn1-,tritemori,tritemoria
130696,t1399,triticarius,a,0,aps---mn1-,triticari triticari triticari,triticarius
130698,t1401,triticiarius,a,0,aps---mn1-,triticiari triticiari triticiari,triticiarius
130699,t1402,triticinus,a,0,aps---mn1-,triticin triticin triticin,triticinus
130703,t8404,tritor,n,0,n-s---mn3-,tritor,tritor
130704,t1406,trittilo,v,0,v1spia--1-,trittil trittilau trittila,trittilo
130705,t1407,trituratio,n,0,n-s---fn3-,trituration,trituratio
130706,t1408,triturator,n,0,n-s---mn3-,triturator,triturator
130707,t9930,tritus,n,0,n-s---mn4-,trit,tritus
130710,t1412,triuiatim,r,0,rp--------,,triuiatim
130650,t1347,triplicatio,n,0,n-s---fn3-,triplication,triplicatio
107693,d9546,dimissus,n,0,n-s---mn4-,dimiss,dimissus
130715,130715,triumphatus,a,0,aps---mn1-,triumphat triumphat triumphat,triumphatus
130717,130717,triumpus,n,0,n-s---mn2-,triump,triumpus
130718,130718,triumuiri,n,0,n-p---mn2-,triumuir,triumuiri
130720,130720,triuolum,n,0,n-s---nn2-,triuol,triuolum
130722,130722,trochaice,r,0,rp--------,,trochaice
130726,130726,trochlcatim,r,0,rp--------,,trochlcatim
130731,130731,tropaei,n,0,n-p---mn2-,tropae,tropaei
130733,130733,tropice,r,0,rp--------,,tropice
130735,130735,tropicus,n,0,n-s---mn2-,tropic,tropicus
130738,130738,tropos,n,0,n-s---mn2g,trop,tropos
130739,130739,trottonarius,a,0,aps---mn1-,trottonari trottonari trottonari,trottonarius
130740,130740,troxalis,n,0,n-s---fn3-,troxalid,troxalis
130743,130743,trublium,n,0,n-s---nn2-,trubli,trublium
130745,130745,trucia,n,0,n-s---fn1-,truci,trucia
130747,130747,truciter,r,0,rp--------,,truciter
130751,130751,truculenta,n,0,n-p---nn2-,truculent,truculenta
130752,130752,truculente,r,0,rp--------,,truculente
130753,130753,truella,n,0,n-s---fn1-,truell,truella
130754,130754,trugonus,n,0,n-s---mn2-,trugon,trugonus
130755,130755,trullio,n,0,n-s---mn3-,trullion,trullio
130758,130758,trullizatio,n,0,n-s---fn3-,trullization,trullizatio
130759,130759,trullizo,v,0,v1spia--1-,trulliz trullizau trullizat,trullizo
130760,130760,truncatim,r,0,rp--------,,truncatim
130761,130761,truncatio,n,0,n-s---fn3-,truncation,truncatio
130762,130762,truncatus,a,0,aps---mn1-,truncat truncat truncat,truncatus
130766,130766,trusus,a,0,aps---mn1-,trus trus trus,trusus
130767,130767,trutinatio,n,0,n-s---fn3-,trutination,trutinatio
130771,130771,trychnos,n,0,n-s---fn2g,trychn,trychnos
130776,130776,trygona,n,0,n-s---fn1-,trygon,trygona
130772,t1476,trychnum,n,0,n-s---nn2-,trychn,trychnum
130719,t8424,triuncis,a,0,aps---cn3i,triunc triunc triunc,triuncis
130721,t1425,trixago,n,0,n-s---fn3-,trixagin,trixago
130725,t1433,trochiscus,n,0,n-s---mn2-,trochisc,trochiscus
130727,t1435,trochleatim,r,0,rp--------,,trochleatim
130728,t1437,tropa,n,0,n-s---fn1-,trop,tropa
130729,t8437,tropa,r,0,rp--------,,tropa
130730,t1438,tropaeatus,a,0,aps---mn1-,tropaeat tropaeat tropaeat,tropaeatus
130732,t8440,tropaeus,a,0,aps---mn1-,tropae tropae tropae,tropaeus
130734,t1441,tropicus,a,0,aps---mn1-,tropic tropic tropic,tropicus
130736,t1442,tropis,n,0,n-s---fn3i,trop,tropis
130737,t1443,tropologia,n,0,n-s---fn1-,tropologi,tropologia
130741,t1447,troxallis,n,0,n-s---fn3-,troxallid,troxallis
130742,t1448,trua,n,0,n-s---fn1-,tru,trua
130746,t1451,trucidator,n,0,n-s---mn3-,trucidator,trucidator
130748,t1454,tructa,n,0,n-s---fn1-,truct,tructa
130749,t1454,tructus,n,0,n-s---mn2-,truct,tructus
130756,t1462,trullissatio,n,0,n-s---fn3-,trullissation,trullissatio
130757,t1463,trullisso,v,0,v1spia--1-,trulliss trullissau trullissa,trullisso
130763,t1465,trunculus,n,0,n-s---mn2-,truncul,trunculus
130765,t1467,truo,n,0,n-s---mn3-,truon,truo
130764,t1468,truo,v,0,v1spia--1-,tru truau truat,truo
130770,t1475,tryblium,n,0,n-s---nn2-,trybli,tryblium
130773,t1477,trygetus,n,0,n-s---mn2-,tryget,trygetus
130774,t1478,tryginon,n,0,n-s---nn2g,trygin,tryginon
130775,t1493,trygon,n,1,n-s---mn3-,trygon,trygon
130777,t1482,tryx,n,0,n-s---fn3-,tryg,tryx
114163,i1594,infitiatrix,n,0,n-s---fn3-,infitiatric,infitiatrix
107709,107709,dionysia,n,0,n-s---fn1-,dionysi,dionysia
130780,130780,tuberans,a,0,aps---an3i,tuberant tuberant tuberant,tuberans
130785,130785,tubicinatio,n,0,n-s---fn3-,tubicination,tubicinatio
130793,130793,tubulustrium,n,0,n-s---nn2-,tubulustri,tubulustrium
130795,130795,tuburcinatus,a,0,aps---mn1-,tuburcinat tuburcinat tuburcinat,tuburcinatus
130797,130797,tucetum,n,0,n-s---nn2-,tucet,tucetum
130799,130799,tudiatores,n,0,n-s---mn3-,tudiator,tudiatores
130802,130802,tuditans,a,0,aps---an3i,tuditant tuditant tuditant,tuditans
130806,130806,tui,n,0,n-p---mn2-,tu,tui
130809,130809,tumbula,n,0,n-s---fn1-,tumbul,tumbula
130812,130812,tumicia,n,0,n-s---fn1-,tumici,tumicia
130811,130811,tumentia,n,0,n-p---nn2-,tumenti,tumentia
130814,130814,tumide,r,0,rp--------,,tumide
130816,130816,tumido,v,0,v1spia--1-,tumid tumidau tumidat,tumido
130819,130819,tumorosus,a,0,aps---mn1-,tumoros tumoros tumoros,tumorosus
130820,130820,tumulamen,n,0,n-s---nn3-,tumulamin,tumulamen
130821,130821,tumultuarie,r,0,rp--------,,tumultuarie
130822,130822,tumultuario,r,0,rp--------,,tumultuario
130824,130824,tumultuatur,n,0,n-s---mn3-,tumultuator,tumultuatur
130825,130825,tumultuo,v,0,v1spia--1-,tumultu tumultuau tumultua,tumultuo
130826,130826,tumulum,n,0,n-s---nn2-,tumul,tumulum
130828,130828,tunicla,n,0,n-s---fn1-,tunicl,tunicla
130832,130832,tunsus,a,0,aps---mn1-,tuns tuns tuns,tunsus
130838,130838,turbanter,r,0,rp--------,,turbanter
130840,130840,turbelae,n,0,n-p---fn1-,turbel,turbelae
130841,130841,turbidatus,a,0,aps---mn1-,turbidat turbidat turbidat,turbidatus
130779,130779,tuber,n,0,n-s---mn3-,tuber,tuber
130810,t9988,tumentia,n,0,n-s---fn1-,tumenti,tumentia
130783,t8688,tuberatus,a,0,aps---mn1-,tuberat tuberat tuberat,tuberatus
130784,t1690,tubero,v,0,v1spia--1-,tuber tuberau tuberat,tubero
130787,t1694,tubicino,v,0,v1spia--1-,tubicin tubicinau tubicinat,tubicino
130788,t1696,tubo,v,0,v1spia--1-,tub tubau tubat,tubo
130789,t1697,tubocantius,n,0,n-s---mn2-,tubocanti,tubocantius
130791,t1700,tubulatio,n,0,n-s---fn3-,tubulation,tubulatio
130792,t1702,tubulus,n,0,n-s---mn2-,tubul,tubulus
130798,t1708,tudes,n,0,n-s---mn3-,"tudit,tud",tudes
130800,t1709,tudicula,n,0,n-s---fn1-,tudicul,tudicula
130801,t1710,tudiculo,v,0,v1spia--1-,tudicul tudiculau tudiculat,tudiculo
130803,t1713,tufa,n,0,n-s---fn1-,tuf,tufa
130807,t1718,tuitor,n,0,n-s---mn3-,tuitor,tuitor
130808,t1719,tullius,n,0,n-s---mn2-,tulli,tullius
130813,t1726,tumicla,n,0,n-s---fn1-,tumicl,tumicla
130815,t1727,tumiditas,n,0,n-s---fn3-,tumiditat,tumiditas
130818,t1729,tumidulus,a,0,aps---mn1-,tumidul tumidul tumidul,tumidulus
130823,t1735,tumultuatim,r,0,rp--------,,tumultuatim
130827,t1744,tundor,n,0,n-s---mn3-,tundor,tundor
130829,t1747,tunico,v,0,v1spia--1-,tunic - tunicat,tunico
130831,t1751,tunsio,n,0,n-s---fn3-,tunsion,tunsio
130833,t1750,tuor,n,0,n-s---mn3-,tuor,tuor
130834,t1752,turabulum,n,0,n-s---nn2-,turabul,turabulum
130835,t1753,turalis,a,0,aps---cn3i,tural tural tural,turalis
130837,t1320,turarius,n,0,n-s---mn2-,turari,turarius
130839,t1759,turbatrix,n,0,n-s---fn3-,turbatric,turbatrix
130842,t1763,turbidulus,a,0,aps---mn1-,turbidul turbidul turbidul,turbidulus
24180,i1600,inflammatio,n,1,n-s---fn3-,inflammation,inflammatio
107714,107714,diphryges,n,0,n-s---fn3i,diphryg,diphryges
107717,107717,diphthongos,a,0,aps---mn1g,diphthong diphthong diphthong,diphthongos
130851,130851,turbus,a,0,aps---mn1-,turb turb turb,turbus
130852,130852,turbystum,n,0,n-s---nn2-,turbyst,turbystum
130855,130855,turgefacio,v,0,v1spia--3i,,turgefacio
130856,130856,turgio,n,0,n-s---mn3-,turgion,turgio
130845,t1768,turbiscus,n,0,n-s---fn2-,turbisc,turbiscus
130863,130863,turmales,n,0,n-p---mn3i,turmal,turmales
130865,130865,turmarii,n,0,n-p---mn2-,turmari,turmarii
130867,130867,turpatus,a,0,aps---mn1-,turpat turpat turpat,turpatus
130869,130869,turpido,n,0,n-s---fn3-,turpidin,turpido
130871,130871,turpilucris,a,0,aps---cn3i,turpilucr turpilucr turpilucr,turpilucris
130872,130872,tursio,n,0,n-s---mn3-,tursion,tursio
130875,130875,turundula,n,0,n-s---fn1-,turundul,turundula
130877,130877,tusilae,n,0,n-p---fn1-,tusil,tusilae
130878,130878,tusillae,n,0,n-p---fn1-,tusill,tusillae
130883,130883,tussiens,n,0,n-s---mn3i,tussient,tussiens
130884,130884,tussitus,a,0,aps---mn1-,tussit tussit tussit,tussitus
130885,130885,tusus,a,0,aps---mn1-,tus tus tus,tusus
130889,130889,tutatus,a,0,aps---mn1-,tutat tutat tutat,tutatus
130894,130894,tutella,n,0,n-s---fn1-,tutell,tutella
130897,130897,tutubo,v,0,v1spia--1-,tutub tutubau tutubat,tutubo
130900,130900,tuxillae,n,0,n-p---fn1-,tuxill,tuxillae
130902,130902,tympanicus,n,0,n-s---mn2-,tympanic,tympanicus
130904,130904,tympanisso,v,0,v1spia--1-,tympaniss tympanissau tympanissa,tympanisso
130901,130901,Tylos,n,0,n-s---mn2g,Tyl,Tylos
130846,t1769,turbistum,n,0,n-s---nn2-,turbist,turbistum
130847,t1772,turbor,n,0,n-s---mn3-,turbor,turbor
130848,t1773,turbula,n,0,n-s---fn1-,turbul,turbula
130853,t1779,turdarium,n,0,n-s---nn2-,turdari,turdarium
130854,t1780,turdela,n,0,n-s---fn1-,turdel,turdela
130857,t1790,turificatio,n,0,n-s---fn3-,turification,turificatio
130858,t1791,turificator,n,0,n-s---mn3-,turificator,turificator
130859,t8792,turificatus,n,0,n-s---mn2-,turificat,turificatus
130860,t1792,turifico,v,0,v1spia--1-,turific turificau turificat,turifico
130861,t0453,turinus,a,0,aps---mn1-,turin turin turin,turinus
130862,t1796,turio,n,0,n-s---mn3-,turion,turio
130864,t1798,turmalis,a,0,aps---cn3i,turmal turmal turmal,turmalis
130866,t1799,turmarius,n,0,n-s---mn2-,turmari,turmarius
130868,t1801,turpedo,n,0,n-s---fn3-,turpedin,turpedo
130873,t1818,turturella,n,0,n-s---fn1-,turturell,turturella
130876,t0615,turundus,n,0,n-s---mn2-,turund,turundus
130879,t1823,tussedo,n,0,n-s---fn3-,tussedin,tussedo
130881,t1826,tussiculosus,a,0,aps---mn1-,tussiculos tussiculos tussiculos,tussiculosus
130882,t1827,tussicus,a,0,aps---mn1-,tussic tussic tussic,tussicus
130886,t1831,tutaculum,n,0,n-s---nn2-,tutacul,tutaculum
130887,t1835,tutatio,n,0,n-s---fn3-,tutation,tutatio
130888,t1836,tutator,n,0,n-s---mn3-,tutator,tutator
130891,t1839,tutelarius,a,0,aps---mn1-,tutelari tutelari tutelari,tutelarius
130892,t1840,tutelator,n,0,n-s---mn3-,tutelator,tutelator
130893,t1841,tutelatus,a,0,aps---mn1-,tutelat tutelat tutelat,tutelatus
130895,t1844,tutorius,a,0,aps---mn1-,tutori tutori tutori,tutorius
130896,t1845,tutrix,n,0,n-s---fn3-,tutric,tutrix
130898,t1846,tutulatus,a,0,aps---mn1-,tutulat tutulat tutulat,tutulatus
130899,t1847,tutulus,n,0,n-s---mn2-,tutul,tutulus
130906,t1857,tympanites,n,0,n-s---mn1g,tympanit,tympanites
114178,i1591,inflatus,n,0,n-s---mn4-,inflat,inflatus
107716,107716,diphthongos,n,0,n-s---fn2g,diphthong,diphthongos
107719,107719,diphtongos,n,0,n-s---fn2g,diphtong,diphtongos
130926,t1876,tyrotarichus,n,0,n-s---mn2-,tyrotarich,tyrotarichus
130912,130912,typhe,n,0,n-s---fn1g,typh,typhe
130915,130915,typhonios,n,0,n-s---fn2g,typhoni,typhonios
130916,130916,typicalis,a,0,aps---cn3i,typical typical typical,typicalis
130917,130917,typice,r,0,rp--------,,typice
130918,130918,typici,n,0,n-p---mn2-,typic,typici
130919,130919,typographum,n,0,n-s---nn2-,typograph,typographum
130954,130954,Ualerianus,n,0,n-s---mn2-,Ualerian,Ualerianus
130924,130924,tyropatina,n,0,n-s---fn1-,tyropatin,tyropatina
130925,130925,tyrotarichos,n,0,n-s---mn2g,tyrotarich,tyrotarichos
130928,130928,uacanter,r,0,rp--------,,uacanter
130929,130929,uacantia,n,0,n-p---nn3i,uacant,uacantia
130931,130931,uacillator,n,0,n-s---mn3-,uacillator,uacillator
130932,130932,uacuatus,a,0,aps---mn1-,uacuat uacuat uacuat,uacuatus
130933,130933,uacue,r,0,rp--------,,uacue
130934,130934,uacuefactus,a,0,aps---mn1-,uacuefact uacuefact uacuefact,uacuefactus
130935,130935,uadatus,a,0,aps---mn1-,uadat uadat uadat,uadatus
130939,130939,uaenumdo,v,0,v1spia--1-,uaenumd uaenumded uaenumdat,uaenumdo
130940,130940,uaesania,n,0,n-s---fn1-,uaesani,uaesania
130941,130941,uaesaniens,a,0,aps---an3i,uaesanient uaesanient uaesanient,uaesaniens
130942,130942,uaesanio,v,0,v1spia--4-,uaesan uaesaniu uaesanit,uaesanio
130945,130945,uagatus,a,0,aps---mn1-,uagat uagat uagat,uagatus
130946,130946,uagatus,n,0,n-s---mn4-,uagat,uagatus
130949,130949,uago,v,0,v1spia--1-,uag uagau uagat,uago
130956,130956,ualgiter,r,0,rp--------,,ualgiter
130961,130961,uallatus,a,0,aps---mn1-,uallat uallat uallat,uallatus
130964,130964,uallestris,a,0,aps---cn3i,uallestr uallestr uallestr,uallestris
130913,t1863,typhon,n,0,n-s---mn3-,typhon,typhon
130965,130965,uallicula,n,0,n-s---fn1-,uallicul,uallicula
130971,130971,ualuulae,n,0,n-p---fn1-,ualuul,ualuulae
130923,130923,Tyro,n,0,n-s---mn3-,Tyron,Tyro
130936,u0024,uado,v,0,v1spia--1-,uad uadau uadat,uado
130966,u0067,uallus,n,0,n-s---mn2-,uall,uallus
130927,130927,tzanga,n,0,n-s---fn1-,tzang,tzanga
130914,t8864,typhonion,n,0,n-s---nn2g,typhoni,typhonion
130920,t0676,tyranna,n,0,n-s---fn1-,tyrann,tyranna
130921,t1873,tyrannopolita,n,0,n-s---mn1-,tyrannopolit,tyrannopolita
130930,u0001,uacantiuus,a,0,aps---mn1-,uacantiu uacantiu uacantiu,uacantiuus
130937,u0023,uadus,a,0,aps---mn1-,uad uad uad,uadus
130943,u0026,uafellus,a,0,aps---mn1-,uafell uafell uafell,uafellus
130944,u0031,uagatio,n,0,n-s---fn3-,uagation,uagatio
130950,u0040,uagulatio,n,0,n-s---fn3-,uagulation,uagulatio
130951,u0041,uagulus,a,0,aps---mn1-,uagul uagul uagul,uagulus
130952,u0015,ualentia,n,0,n-s---fn1-,ualenti,ualentia
130953,u0051,ualeria,n,0,n-s---fn1-,ualeri,ualeria
130955,u0066,ualetudinarius,n,0,n-s---mn2-,ualetudinari,ualetudinarius
130957,u0055,ualiditas,n,0,n-s---fn3-,ualiditat,ualiditas
130958,u0056,ualido,v,0,v1spia--1-,ualid ualidau ualidat,ualido
130960,u0060,uallatio,n,0,n-s---fn3-,uallation,uallatio
130962,u0061,uallecula,n,0,n-s---fn1-,uallecul,uallecula
130967,u0070,ualuarius,n,0,n-s---mn2-,ualuari,ualuarius
130968,u0071,ualuatus,a,0,aps---mn1-,ualuat ualuat ualuat,ualuatus
130969,u0155,ualuolae,n,0,n-p---fn1-,ualuol,ualuolae
130970,u0173,ualuoli,n,0,n-p---mn2-,ualuol,ualuoli
107702,d9991,dinoscentia,n,0,n-s---fn1-,dinoscenti,dinoscentia
130975,130975,uanilocus,a,0,aps---mn1-,uaniloc uaniloc uaniloc,uanilocus
130976,130976,uaniloquax,n,0,n-s---fn3-,uaniloquac,uaniloquax
130985,130985,uaporaliter,r,0,rp--------,,uaporaliter
130986,130986,uaporate,r,0,rp--------,,uaporate
130988,130988,uaporatus,a,0,aps---mn1-,uaporat uaporat uaporat,uaporatus
130992,130992,uapos,n,0,n-s---mn3-,uapor,uapos
130999,130999,uarians,a,0,aps---an3i,uariant uariant uariant,uarians
131001,131001,uariator,n,0,n-s---mn3-,uariator,uariator
131002,131002,uariatus,a,0,aps---mn1-,uariat uariat uariat,uariatus
131003,131003,uaricatio,n,0,n-s---fn3-,uarication,uaricatio
131005,131005,uaricatus,a,0,aps---mn1-,uaricat uaricat uaricat,uaricatus
131006,131006,uaricose,r,0,rp--------,,uaricose
131010,131010,uaritus,r,0,rp--------,,uaritus
131012,131012,uaro,n,0,n-s---mn3-,uaron,uaro
131027,131027,uastatus,a,0,aps---mn1-,uastat uastat uastat,uastatus
131032,131032,uastuosus,a,0,aps---mn1-,uastuos uastuos uastuos,uastuosus
131036,131036,uaticino,v,0,v1spia--1-,uaticin uaticinau uaticinat,uaticino
131037,131037,uatinius,n,0,n-s---mn2-,uatini,uatinius
131038,131038,uatrax,n,0,n-s---mn3-,uatrac,uatrax
131039,131039,uatricosus,n,0,n-s---mn2-,uatricos,uatricosus
131042,131042,uberitas,n,0,n-s---fn3-,uberitat,uberitas
131013,131013,Uarro,n,0,n-s---mn3-,Uarron,Uarro
131040,131040,uba,n,0,n-s---fn1-,ub,uba
130979,u0083,uanno,v,0,v1spia--3-,,uanno
130980,u0084,uannulus,n,0,n-s---mn2-,uannul,uannulus
130983,u0089,uapio,n,0,n-s---mn3-,uapion,uapio
130984,u0091,uaporalis,a,0,aps---cn3i,uaporal uaporal uaporal,uaporalis
130987,u0093,uaporatio,n,0,n-s---fn3-,uaporation,uaporatio
130989,u0094,uaporeus,a,0,aps---mn1-,uapore uapore uapore,uaporeus
130990,u0095,uaporifer,a,0,aps---mn1r,uaporifer uaporifer uaporifer,uaporifer
130991,u0098,uaporus,a,0,aps---mn1-,uapor uapor uapor,uaporus
130993,u0100,uappo,n,0,n-s---mn3-,uappon,uappo
130995,u0103,uara,n,0,n-s---fn1-,uar,uara
130996,u0104,uaratio,n,0,n-s---fn3-,uaration,uaratio
130997,u0105,uargus,n,0,n-s---mn2-,uarg,uargus
131000,u0109,uariatim,r,0,rp--------,,uariatim
131004,u0111,uaricator,n,0,n-s---mn3-,uaricator,uaricator
131007,u0114,uaricula,n,0,n-s---fn1-,uaricul,uaricula
131008,u0116,uaricus,r,0,rp--------,,uaricus
131009,u0117,uariego,v,0,v1spia--1-,uarieg uariegau uariegat,uariego
131011,u0122,uaro,v,0,v1spia--1-,uar uarau uarat,uaro
131014,u0124,uarulus,n,0,n-s---mn2-,uarul,uarulus
